"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.098",19
"2","FC = 0.98, SFT = 0.098",36
"3","FC = 0.996, SFT = 0.1",20
"4","FC = 0.98, SFT = 0.1",36
"5","FC = 0.996, SFT = 0.12",18
"6","FC = 0.98, SFT = 0.12",37
