"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"121","FC = 0.996, SFT = 0.12","2015-09-08 10:30:00","2015-09-09 01:15:00",8453.18213220941,15,563.545475480627,"0.996","0.12","storm_10"
"122","FC = 0.996, SFT = 0.12","2015-09-09 10:00:00","2015-09-10 04:30:00",10420.8977388019,18.75,555.781212736103,"0.996","0.12","storm_11"
"123","FC = 0.996, SFT = 0.12","2015-09-14 03:45:00","2015-09-16 04:30:00",43050.6182296221,49,878.584045502491,"0.996","0.12","storm_12"
"124","FC = 0.996, SFT = 0.12","2015-09-30 07:45:00","2015-10-03 23:15:00",152293.258887345,87.75,1735.53571381589,"0.996","0.12","storm_13"
"125","FC = 0.996, SFT = 0.12","2015-10-09 20:45:00","2015-10-11 12:45:00",31244.023273283,40.25,776.24902542318,"0.996","0.12","storm_14"
"126","FC = 0.996, SFT = 0.12","2015-10-18 05:15:00","2015-10-18 10:00:00",2198.45746589568,5,439.691493179135,"0.996","0.12","storm_15"
"127","FC = 0.996, SFT = 0.12","2015-10-28 21:00:00","2015-11-04 13:30:00",288705.78256601,160.75,1795.99242653816,"0.996","0.12","storm_16"
"128","FC = 0.996, SFT = 0.12","2015-11-13 08:45:00","2015-11-17 06:30:00",139662.967429019,94,1485.77624924489,"0.996","0.12","storm_17"
"129","FC = 0.996, SFT = 0.12","2015-11-20 00:45:00","2015-11-20 14:30:00",90521.6232620051,14,6465.83023300036,"0.996","0.12","storm_18"
"130","FC = 0.98, SFT = 0.12","2015-04-09 15:15:00","2015-04-12 07:30:00",258669.267528249,64.5,4010.37624074805,"0.98","0.12","storm_1"
"131","FC = 0.98, SFT = 0.12","2015-04-12 17:45:00","2015-04-13 07:45:00",13484.2893361435,14.25,946.265918325862,"0.98","0.12","storm_2"
"132","FC = 0.98, SFT = 0.12","2015-04-13 16:15:00","2015-04-16 08:00:00",126397.002084914,64,1974.95315757677,"0.98","0.12","storm_3"
"133","FC = 0.98, SFT = 0.12","2015-04-16 19:15:00","2015-04-19 11:30:00",44298.9674530064,64.5,686.805696945835,"0.98","0.12","storm_4"
"134","FC = 0.98, SFT = 0.12","2015-04-20 11:45:00","2015-04-26 01:45:00",347411.798844846,134.25,2587.79738431915,"0.98","0.12","storm_5"
"135","FC = 0.98, SFT = 0.12","2015-04-27 11:30:00","2015-05-01 03:45:00",100003.180338718,88.5,1129.97943885557,"0.98","0.12","storm_6"
"136","FC = 0.98, SFT = 0.12","2015-05-05 09:00:00","2015-05-06 01:15:00",8305.05626593104,16.5,503.33674338976,"0.98","0.12","storm_7"
"137","FC = 0.98, SFT = 0.12","2015-05-11 03:45:00","2015-05-13 23:15:00",60833.8867510724,67.75,897.917147617304,"0.98","0.12","storm_8"
"138","FC = 0.98, SFT = 0.12","2015-05-27 20:30:00","2015-05-29 04:00:00",29194.0022660799,31.75,919.49613436472,"0.98","0.12","storm_9"
"139","FC = 0.98, SFT = 0.12","2015-05-30 23:45:00","2015-06-05 15:45:00",577694.87136249,112.25,5146.50219476606,"0.98","0.12","storm_10"
"140","FC = 0.98, SFT = 0.12","2015-06-06 00:15:00","2015-06-07 02:45:00",28724.4152483635,26.75,1073.80991582667,"0.98","0.12","storm_11"
"141","FC = 0.98, SFT = 0.12","2015-06-08 14:45:00","2015-06-12 03:30:00",611855.361229701,85,7198.29836740824,"0.98","0.12","storm_12"
"142","FC = 0.98, SFT = 0.12","2015-06-12 20:30:00","2015-06-15 19:30:00",379605.123102166,71.25,5327.79120143391,"0.98","0.12","storm_13"
"143","FC = 0.98, SFT = 0.12","2015-06-16 13:00:00","2015-06-18 10:15:00",107113.227564757,45.5,2354.13686955509,"0.98","0.12","storm_14"
