"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.088",80
"2","FC = 0.98, SFT = 0.088",182
"3","FC = 0.996, SFT = 0.1",83
"4","FC = 0.98, SFT = 0.1",180
"5","FC = 0.996, SFT = 0.14",89
"6","FC = 0.98, SFT = 0.14",176
