rainfall start,HydRun start,HIP end,HydRun end,multipeak tag,HydRun detect?
NaN,6/24/2014 23:15,6/27/2014 6:45,6/29/2014 2:15,,
NaN,7/3/2014 17:15,7/5/2014 1:00,7/5/2014 23:45,,
NaN,7/6/2014 1:45,7/6/2014 12:45,7/6/2014 19:45,,
NaN,7/8/2014 18:45,7/10/2014 6:15,7/11/2014 5:45,,
NaN,7/15/2014 13:15,7/16/2014 16:15,7/18/2014 5:15,,
NaN,7/28/2014 2:00,7/30/2014 1:00,7/31/2014 7:00,,
NaN,8/6/2014 21:45,8/8/2014 7:00,8/10/2014 7:15,MP,
NaN,8/13/2014 10:30,8/15/2014 4:00,8/16/2014 20:00,,
NaN,8/16/2014 20:15,8/18/2014 15:15,8/19/2014 17:30,,
NaN,10/18/2014 13:30,10/20/2014 7:15,10/20/2014 13:15,,
NaN,10/23/2014 12:00,10/25/2014 11:00,10/25/2014 20:30,,
NaN,10/25/2014 20:45,10/27/2014 7:30,10/27/2014 17:45,,
NaN,10/29/2014 2:45,10/31/2014 4:45,10/31/2014 23:00,,manual
NaN,11/6/2014 20:00,11/9/2014 21:00,11/11/2014 3:45,,
NaN,11/17/2014 12:45,11/19/2014 3:45,11/20/2014 10:15,MP,
NaN,11/23/2014 6:00,11/26/2014 11:15,11/27/2014 23:30,,
NaN,4/9/2015 11:30,4/11/2015 18:15,4/12/2015 11:45,,
NaN,4/12/2015 14:15,4/13/2015 7:30,4/13/2015 12:00,,manual
NaN,4/13/2015 12:15,4/15/2015 8:30,4/16/2015 12:45,,manual
NaN,4/20/2015 8:30,4/21/2015 1:15,4/21/2015 6:00,,manual
NaN,4/21/2015 6:15,4/22/2015 3:45,4/22/2015 9:45,,manual
NaN,4/22/2015 16:30,4/23/2015 15:15,4/23/2015 22:30,,manual
4/26/2015 20:15,4/27/2015 2:30,4/29/2015 10:15,4/30/2015 10:00,,
5/4/2015 22:30,5/4/2015 22:45,5/6/2015 4:30,5/6/2015 10:15,,
5/10/2015 13:15,5/11/2015 8:45,5/13/2015 13:00,5/15/2015 9:30,,manual
5/27/2015 4:30,5/27/2015 11:30,5/28/2015 9:00,5/28/2015 14:00,,manual
