rainfall start,HydRun start,HIP end,HydRun end,multipeak tag,HydRun detect?,Snowmelt,Note
NaN,7/3/2014 16:30,7/4/2014 5:45,7/4/2014 18:00,,manual,,
NaN,7/8/2014 21:30,7/9/2014 11:00,7/9/2014 16:15,,,,
NaN,7/16/2014 2:15,7/16/2014 12:30,7/16/2014 21:15,,,,
NaN,7/23/2014 12:15,7/23/2014 23:00,7/24/2014 12:00,,,,
NaN,7/28/2014 10:15,7/29/2014 15:30,7/30/2014 0:00,MP,,,
NaN,7/31/2014 13:45,8/1/2014 3:45,8/1/2014 12:45,,,,
NaN,8/3/2014 22:00,8/4/2014 16:45,8/5/2014 2:45,,,,
NaN,8/5/2014 17:30,8/6/2014 17:15,8/7/2014 2:00,,,,
NaN,8/7/2014 2:15,8/7/2014 12:00,8/7/2014 14:30,,,,
NaN,8/13/2014 8:15,8/14/2014 19:00,8/15/2014 13:30,,,,
NaN,8/16/2014 23:00,8/18/2014 20:30,8/19/2014 10:45,,,,
NaN,8/31/2014 4:30,8/31/2014 20:30,9/1/2014 2:30,,,,
NaN,9/2/2014 19:15,9/3/2014 10:30,9/3/2014 23:00,,,,
NaN,9/6/2014 10:00,9/7/2014 2:00,9/7/2014 11:15,,,,
9/13/2014 14:30,9/13/2014 11:15,9/15/2014 0:45,9/15/2014 11:30,,,,
NaN,9/21/2014 21:45,9/22/2014 23:00,9/23/2014 11:15,MP,,,
10/4/2014 14:45,10/4/2014 14:15,10/5/2014 10:15,10/6/2014 1:45,,,,
10/7/2014 8:00,10/7/2014 9:15,10/9/2014 12:00,10/10/2014 12:15,MP,,,
10/16/2014 4:45,10/16/2014 7:45,10/17/2014 23:15,10/18/2014 12:15,,manual,,
10/18/2014 11:00,10/18/2014 14:00,10/20/2014 2:00,10/20/2014 14:00,,manual,,
NaN,10/21/2014 15:30,10/22/2014 23:45,10/23/2014 13:15,,manual,,missing rain data
NaN,10/23/2014 13:30,10/25/2014 1:45,10/25/2014 15:00,,manual,,missing rain data
NaN,10/25/2014 18:15,10/26/2014 9:30,10/26/2014 13:45,,,,missing rain data
