"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr"
"20","storm_20","2017-08-22 15:15:00","2017-08-24 21:45:00",195541.2,198220986,54.75,3571.52876712329
"21","storm_21","2017-09-03 08:45:00","2017-09-05 11:30:00",177510.6,180822444.3,51,3480.6
"22","storm_22","2017-09-05 11:45:00","2017-09-07 01:15:00",110628.9,103395439.8,25.5,4338.38823529412
"23","storm_23","2017-09-07 01:30:00","2017-09-10 10:00:00",540957.6,818865740.7,74.5,7261.17583892617
"24","storm_24","2014-10-25 20:45:00","2014-10-27 17:45:00",41192.1,83346858.9,45.25,910.322651933702
"25","storm_25","2017-10-05 15:00:00","2017-10-06 07:45:00",47758.5,11623218.3,17,2809.32352941176
"26","storm_26","2017-10-09 10:45:00","2017-10-11 11:15:00",104449.5,134949314.7,17.5,5968.54285714286
"27","storm_27","2017-10-26 14:00:00","2017-10-29 04:15:00",318642.3,456696891.9,62.5,5098.2768
"28","storm_28","2017-10-30 01:00:00","2017-10-31 23:00:00",320570.1,692373387.6,46.25,6931.24540540541
"29","storm_29","2017-11-03 06:15:00","2017-11-05 04:45:00",513795.6,1414382547.6,46.75,10990.2802139037
"30","storm_30","2017-11-05 22:30:00","2017-11-08 07:45:00",531092.7,1614174167.7,57.5,9236.3947826087
"31","storm_31","2017-11-19 03:00:00","2017-11-21",321237,780461635.5,45.25,7099.16022099447
"32","storm_32","2017-11-22 09:45:00","2017-11-23 04:30:00",106973.1,295617564.9,19,5630.16315789474
"33","storm_33","2017-11-25 22:15:00","2017-11-28 02:30:00",133363.8,378513102.6,22.5,5927.28
"34","storm_34","2017-11-28 08:00:00","2017-12-03 18:30:00",740977.2,2194927152.3,130.75,5667.12963671128
"35","storm_35","2014-10-29 02:45:00","2014-10-31 23:00:00",46484.1,90344598.3,68.5,678.6
"36","storm_37","2018-04-04 02:30:00","2018-04-05 08:45:00",303169.5,573846781.5,30.5,9939.98360655738
"37","storm_38","2018-04-12 18:15:00","2018-04-13 21:15:00",145525.5,249382800,27.25,5340.38532110092
"38","storm_39","2018-04-13 21:30:00","2018-04-15 15:30:00",326937.6,626156443.8,42.25,7738.16804733728
"39","storm_40","2018-04-16 06:00:00","2018-04-18 13:30:00",727249.5,2006666302.5,55.75,13044.8340807175
"40","storm_41","2018-04-20 14:45:00","2018-04-21 12:15:00",121165.2,361638820.8,21.75,5570.81379310345
"41","storm_42","2018-04-25 14:00:00","2018-04-28 01:15:00",554887.8,1218897381.6,50.25,11042.5432835821
"42","storm_43","2018-04-29 07:30:00","2018-05-01 14:45:00",928068.3,2146446251.1,55.5,16721.9513513514
"43","storm_44","2018-05-03 08:45:00","2018-05-04 18:45:00",298851.3,654437374.2,34.25,8725.58540145985
"44","storm_45","2018-05-04 19:00:00","2018-05-06 03:15:00",233751.6,595504769.4,32.5,7192.35692307692
"45","storm_46","2014-11-06 20:00:00","2014-11-11 03:45:00",70649.1,134719095.6,104,679.318269230769
"46","storm_47","2018-05-15 09:00:00","2018-05-17 05:45:00",33915.6,55159303.5,19.25,1761.84935064935
"47","storm_48","2018-05-20 06:30:00","2018-05-22 06:15:00",76428.9,133435341,48,1592.26875
"48","storm_49","2018-05-26 07:30:00","2018-05-29 22:00:00",111224.7,160355476.8,86.75,1282.12910662824
"49","storm_51","2018-07-25 19:00:00","2018-07-28 00:30:00",43188.3,38230084.8,53.75,803.503255813954
"50","storm_52","2018-08-08 19:15:00","2018-08-10 11:45:00",42828.3,48149505.9,40.75,1051.00122699387
"51","storm_53","2018-10-02 13:45:00","2018-10-04 13:45:00",44793.9,24553320.3,48.25,928.370984455959
"52","storm_54","2018-10-11 10:00:00","2018-10-13 16:30:00",60575.4,71330473.8,54.75,1106.4
"53","storm_55","2018-10-27 22:00:00","2018-10-30 05:00:00",53909.1,77706345.6,55.25,975.730316742081
"54","storm_56","2018-11-01 18:45:00","2018-11-05 13:15:00",685008,4069739700.9,90.75,7548.29752066116
"55","storm_57","2014-11-17 12:45:00","2014-11-20 10:15:00",56664,90689626.8,69.75,812.387096774194
"56","storm_58","2018-11-06 16:00:00","2018-11-08 15:45:00",168882.3,1054954330.2,48,3518.38125
"57","storm_59","2018-11-09 22:45:00","2018-11-12 09:45:00",313573.5,1756838909.7,59.25,5292.37974683544
