"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"31","FC = 0.996, SFT = 0.098",2015-08-11,"2015-08-13 08:15:00",41399.2715021935,47.25,876.175058247481,0.996,"0.098","storm_31",0.860691715222317,0.860691715222317
"32","FC = 0.996, SFT = 0.098",2015-08-21,"2015-08-22 01:00:00",19417.5191487035,20.75,935.784055359203,0.996,"0.098","storm_32",0.403690626792172,0.403690626792172
"33","FC = 0.996, SFT = 0.098",2015-09-13,"2015-09-14 17:30:00",26586.8480127555,24.75,1074.21608132346,0.996,"0.098","storm_33",0.55274112292631,0.55274112292631
"34","FC = 0.996, SFT = 0.098",2015-09-29,"2015-10-02 12:15:00",232762.471491361,66.25,3513.39579609602,0.996,"0.098","storm_34",4.83913662144202,4.83913662144202
"35","FC = 0.996, SFT = 0.098",2015-10-09,"2015-10-10 16:30:00",35297.7984322647,34.5,1023.12459223956,0.996,"0.098","storm_35",0.733841963248747,0.733841963248747
"36","FC = 0.996, SFT = 0.098",2015-10-10,"2015-10-11 01:00:00",2683.69036599355,7,383.384337999079,0.996,"0.098","storm_36",0.0557939785029845,0.0557939785029845
"37","FC = 0.996, SFT = 0.098",2015-10-13,"2015-10-14 08:30:00",4398.05631516174,10,439.805631516174,0.996,"0.098","storm_37",0.0914356822278949,0.0914356822278949
"38","FC = 0.996, SFT = 0.098",2015-10-15,"2015-10-15 07:45:00",1535.48959718817,4.25,361.291669926629,0.996,"0.098","storm_38",0.0319228606484027,0.0319228606484027
"39","FC = 0.996, SFT = 0.098",2015-10-17,"2015-10-18 09:45:00",7762.38027807412,18.25,425.335905647897,0.996,"0.098","storm_39",0.161380047361208,0.161380047361208
"40","FC = 0.996, SFT = 0.098",2015-10-19,"2015-10-19 09:15:00",2289.08150753283,6,381.513584588805,0.996,"0.098","storm_40",0.0475900521316596,0.0475900521316596
"41","FC = 0.996, SFT = 0.098",2015-10-28,"2015-11-01 07:15:00",177127.297036615,89,1990.19434872601,0.996,"0.098","storm_41",3.68248018787142,3.68248018787142
"42","FC = 0.996, SFT = 0.098",2015-11-04,"2015-11-04 10:45:00",3646.95488665697,8.75,416.794844189368,0.996,"0.098","storm_42",0.0758202679138663,0.0758202679138663
"43","FC = 0.996, SFT = 0.098",2015-11-08,"2015-11-09 05:00:00",2728.95583145688,7,389.850833065269,0.996,"0.098","storm_43",0.0567350484710371,0.0567350484710371
"44","FC = 0.996, SFT = 0.098",2015-11-10,"2015-11-10 09:45:00",2731.96645678451,7,390.280922397788,0.996,"0.098","storm_44",0.0567976394341895,0.0567976394341895
"45","FC = 0.996, SFT = 0.098",2015-11-12,"2015-11-13 16:45:00",13767.8382348579,20,688.391911742896,0.996,"0.098","storm_45",0.286233643136339,0.286233643136339
"46","FC = 0.996, SFT = 0.098",2015-11-17,"2015-11-17 12:00:00",5646.0026568495,12.25,460.898176069347,0.996,"0.098","storm_46",0.117380512616414,0.117380512616414
"47","FC = 0.996, SFT = 0.098",2015-11-17,"2015-11-18 09:45:00",7176.06388688089,15.5,462.971863669735,0.996,"0.098","storm_47",0.149190517398771,0.149190517398771
"48","FC = 0.996, SFT = 0.098",2016-03-25,"2016-03-26 08:45:00",9029.66973942065,21,429.984273305745,0.996,"0.098","storm_48",0.187727021609577,0.187727021609577
"49","FC = 0.996, SFT = 0.098",2016-03-28,"2016-03-30 10:15:00",56721.0740794071,47.75,1187.87589695093,0.996,"0.098","storm_49",1.17923230934318,1.17923230934318
"50","FC = 0.996, SFT = 0.098",2016-04-05,"2016-04-05 11:30:00",2030.10984781316,4,507.527461953291,0.996,"0.098","storm_50",0.0422060259420616,0.0422060259420616
"51","FC = 0.996, SFT = 0.098",2016-04-07,"2016-04-09 14:30:00",41681.8875612001,42.25,986.55355174438,0.996,"0.098","storm_51",0.866567308964658,0.866567308964658
"52","FC = 0.996, SFT = 0.098",2016-04-12,"2016-04-12 15:45:00",2542.00695653253,6.25,406.721113045205,0.996,"0.098","storm_52",0.0528483774746888,0.0528483774746888
"53","FC = 0.996, SFT = 0.098",2016-04-19,"2016-04-19 09:00:00",1950.18352883641,4.75,410.564953439243,0.996,"0.098","storm_53",0.040544356108865,0.040544356108865
