"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm"
"1","FC = 0.996, SFT = 0.098",2014-07-03,"2014-07-05 03:45:00",31371.3586954619,32,980.354959233186,0.996,"0.098","storm_1",0.652211199489853
"2","FC = 0.996, SFT = 0.098",2014-07-08,"2014-07-10 08:15:00",102449.100823579,33.75,3035.52891329124,0.996,"0.098","storm_2",2.12991893604115
"3","FC = 0.996, SFT = 0.098",2014-07-16,"2014-07-16 09:45:00",2441.07434002981,5.25,464.966540958059,0.996,"0.098","storm_3",0.0507499862792061
"4","FC = 0.996, SFT = 0.098",2014-07-28,"2014-07-29 19:45:00",28029.9013532882,30.75,911.541507424008,0.996,"0.098","storm_4",0.582742231877095
"5","FC = 0.996, SFT = 0.098",2014-07-31,"2014-07-31 22:45:00",2505.07583123735,5.75,435.665361954321,0.996,"0.098","storm_5",0.0520805786120031
"6","FC = 0.996, SFT = 0.098",2014-08-04,"2014-08-04 13:15:00",3050.44265182782,6,508.407108637971,0.996,"0.098","storm_6",0.0634187661502666
"7","FC = 0.996, SFT = 0.098",2014-08-05,"2014-08-08 10:30:00",117990.786522745,61.5,1918.54937435358,0.996,"0.098","storm_7",2.45303090483877
"8","FC = 0.996, SFT = 0.098",2014-08-13,"2014-08-15 05:00:00",46424.6003925297,33.5,1385.80896694118,0.996,"0.098","storm_8",0.9651684073291
"9","FC = 0.996, SFT = 0.098",2014-08-17,"2014-08-19 16:45:00",96573.0201354147,50,1931.46040270829,0.996,"0.098","storm_9",2.00775509637037
"10","FC = 0.996, SFT = 0.098",2014-09-02,"2014-09-04 07:45:00",123078.060969363,35.5,3466.98763293979,0.996,"0.098","storm_10",2.55879544634849
"11","FC = 0.996, SFT = 0.098",2014-09-06,"2014-09-07 10:00:00",19203.1135420529,18,1066.83964122516,0.996,"0.098","storm_11",0.39923312977241
"12","FC = 0.996, SFT = 0.098",2014-09-22,"2014-09-23 16:00:00",68091.600684114,40,1702.29001710285,0.996,"0.098","storm_12",1.41562579384852
"13","FC = 0.996, SFT = 0.098",2014-10-04,"2014-10-06 06:30:00",93869.152261604,34.5,2720.84499308997,0.996,"0.098","storm_13",1.95154162706037
"14","FC = 0.996, SFT = 0.098",2014-10-07,"2014-10-08 01:45:00",6631.13321764591,12.25,541.31699735885,0.996,"0.098","storm_14",0.137861397456256
"15","FC = 0.996, SFT = 0.098",2014-10-08,"2014-10-10 07:30:00",45314.0458484748,49.25,920.08214920761,0.996,"0.098","storm_15",0.942079955269747
"16","FC = 0.996, SFT = 0.098",2014-10-16,"2014-10-21 01:15:00",534760.711249014,109.25,4894.8348855745,0.996,"0.098","storm_16",11.1176863045533
"17","FC = 0.996, SFT = 0.098",2014-10-21,"2014-10-23 12:30:00",59760.8610484949,42.5,1406.13790702341,0.996,"0.098","storm_17",1.24242954362775
"18","FC = 0.996, SFT = 0.098",2014-10-23,"2014-10-25 17:15:00",202098.322049456,51,3962.71219704816,0.996,"0.098","storm_18",4.20162831703651
"19","FC = 0.996, SFT = 0.098",2014-10-25,"2014-10-26 13:00:00",15558.8599206025,18.25,852.540269622053,0.996,"0.098","storm_19",0.323469021218346
"20","FC = 0.996, SFT = 0.098",2014-10-26,"2014-10-31 12:30:00",198893.171129941,116.5,1707.23752042868,0.996,"0.098","storm_20",4.13499316278464
"21","FC = 0.996, SFT = 0.098",2014-10-31,"2014-11-01",3698.04925543478,9.5,389.268342677345,0.996,"0.098","storm_21",0.0768825209030099
"22","FC = 0.996, SFT = 0.098",2014-11-07,"2014-11-07 10:30:00",2886.83390416711,7,412.404843452445,0.996,"0.098","storm_22",0.0600173368849712
"23","FC = 0.996, SFT = 0.098",2015-04-25,"2015-04-25 20:30:00",6798.02416168548,12.25,554.940747892692,0.996,"0.098","storm_23",0.141331063652505
"24","FC = 0.996, SFT = 0.098",2015-04-26,"2015-05-03 11:00:00",616406.238253215,167.5,3680.03724330278,0.996,"0.098","storm_24",12.8150985083828
"25","FC = 0.996, SFT = 0.098",2015-05-03,"2015-05-07 10:45:00",352761.476996447,95.25,3703.53256689184,0.996,"0.098","storm_25",7.33391844067458
"26","FC = 0.996, SFT = 0.098",2015-05-07,"2015-05-08 09:45:00",18636.7939174109,20.75,898.158743007752,0.996,"0.098","storm_26",0.387459333002305
"27","FC = 0.996, SFT = 0.098",2015-05-08,"2015-05-09 09:45:00",13828.0712073217,18.75,737.497131057156,0.996,"0.098","storm_27",0.287485887886106
"28","FC = 0.996, SFT = 0.098",2015-05-09,"2015-05-10 02:15:00",3973.73374290033,9.5,418.287762410561,0.996,"0.098","storm_28",0.0826140071289049
"29","FC = 0.996, SFT = 0.098",2015-05-10,"2015-05-15 04:45:00",305769.214033956,108.75,2811.67093364557,0.996,"0.098","storm_29",6.35694831671426
