"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"13","FC = 0.996, SFT = 0.098","2014-10-04 20:15:00","2014-10-06 06:30:00",93869.152261604,10762812.5799755,34.5,2720.84499308997,0.996,"0.098","storm_13",5.62090732105413,0.644479795208117
"14","FC = 0.996, SFT = 0.098","2014-10-07 13:45:00","2014-10-08 01:45:00",6631.13321764591,242862.18033369,12.25,541.31699735885,0.996,"0.098","storm_14",0.397073845368019,0.0145426455289635
"15","FC = 0.996, SFT = 0.098","2014-10-08 06:30:00","2014-10-10 07:30:00",45314.0458484748,1294386.56386102,49.25,920.08214920761,0.996,"0.098","storm_15",2.71341591907035,0.0775081774767079
"16","FC = 0.996, SFT = 0.098","2014-10-16 12:15:00","2014-10-21 01:15:00",534760.711249014,25292874.0300923,109.25,4894.8348855745,0.996,"0.098","storm_16",32.0215994759889,1.51454335509535
"17","FC = 0.996, SFT = 0.098","2014-10-21 18:15:00","2014-10-23 12:30:00",59760.8610484949,4605349.07319616,42.5,1406.13790702341,0.996,"0.098","storm_17",3.57849467356257,0.275769405580608
"18","FC = 0.996, SFT = 0.098","2014-10-23 14:30:00","2014-10-25 17:15:00",202098.322049456,14434066.2215087,51,3962.71219704816,0.996,"0.098","storm_18",12.1016959311052,0.864315342605314
"19","FC = 0.996, SFT = 0.098","2014-10-25 19:00:00","2014-10-26 13:00:00",15558.8599206025,1595922.51627657,18.25,852.540269622053,0.996,"0.098","storm_19",0.93166825871871,0.0955642225315312
"20","FC = 0.996, SFT = 0.098","2014-10-26 16:15:00","2014-10-31 12:30:00",198893.171129941,19226398.9629122,116.5,1707.23752042868,0.996,"0.098","storm_20",11.9097707263438,1.15128137502468
"21","FC = 0.996, SFT = 0.098","2014-10-31 14:45:00","2014-11-01",3698.04925543478,529632.984380033,9.5,389.268342677345,0.996,"0.098","storm_21",0.221440075175735,0.0317145499628763
"22","FC = 0.996, SFT = 0.098","2014-11-07 03:45:00","2014-11-07 10:30:00",2886.83390416711,547996.880035144,7,412.404843452445,0.996,"0.098","storm_22",0.172864305638749,0.0328141844332422
"23","FC = 0.996, SFT = 0.098","2015-04-25 08:30:00","2015-04-25 20:30:00",6798.02416168548,2795077.91440612,12.25,554.940747892692,0.996,"0.098","storm_23",0.407067315070987,0.167369934994379
"24","FC = 0.996, SFT = 0.098","2015-04-26 11:45:00","2015-05-03 11:00:00",616406.238253215,240123477.887562,167.5,3680.03724330278,0.996,"0.098","storm_24",36.9105531888153,14.3786513705127
"25","FC = 0.996, SFT = 0.098","2015-05-03 11:45:00","2015-05-07 10:45:00",352761.476996447,106831415.172174,95.25,3703.53256689184,0.996,"0.098","storm_25",21.1234417363142,6.39709072887272
"26","FC = 0.996, SFT = 0.098","2015-05-07 13:15:00","2015-05-08 09:45:00",18636.7939174109,4295890.15044644,20.75,898.158743007752,0.996,"0.098","storm_26",1.1159756836773,0.257238931164458
"27","FC = 0.996, SFT = 0.098","2015-05-08 15:15:00","2015-05-09 09:45:00",13828.0712073217,2862648.41471001,18.75,737.497131057156,0.996,"0.098","storm_27",0.828028216007286,0.171416072737126
"28","FC = 0.996, SFT = 0.098","2015-05-09 17:00:00","2015-05-10 02:15:00",3973.73374290033,721240.91017062,9.5,418.287762410561,0.996,"0.098","storm_28",0.237948128317385,0.0431880784533305
