"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.098",142
"2","FC = 0.98, SFT = 0.098",167
"3","FC = 0.996, SFT = 0.1",142
"4","FC = 0.98, SFT = 0.1",166
"5","FC = 0.996, SFT = 0.12",139
"6","FC = 0.98, SFT = 0.12",155
