"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.098",99
"2","FC = 0.98, SFT = 0.098",87
"3","FC = 0.996, SFT = 0.1",100
"4","FC = 0.98, SFT = 0.1",85
"5","FC = 0.996, SFT = 0.12",90
"6","FC = 0.98, SFT = 0.12",72
