"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr"
"1","storm_1","2014-07-27 09:00:00","2014-07-28 08:30:00",18148.5,6500205,23.75,0.98633152173913,0.353272010869565,764.147368421053
"2","storm_2","2014-10-18 13:15:00","2014-10-19 17:30:00",24746.4,4740273.9,28.5,1.34491304347826,0.257623581521739,868.294736842105
"3","storm_3","2016-10-13 13:15:00","2016-10-14 01:45:00",1728.9,821808.9,12.75,0.0939619565217391,0.044663527173913,135.6
"4","storm_4","2016-10-20 16:30:00","2016-10-21 07:30:00",2655.9,798375.6,15.25,0.144342391304348,0.0433899782608696,174.15737704918
"5","storm_5","2016-10-21 15:15:00","2016-10-22 05:45:00",4606.2,995731.2,14.75,0.250336956521739,0.0541158260869565,312.284745762712
"6","storm_6","2016-10-22 07:45:00","2016-10-24 01:15:00",36333,7317815.4,41.75,1.97461956521739,0.397707358695652,870.251497005988
"7","storm_7","2016-10-27 14:45:00","2016-10-28 16:30:00",11071.8,3654490.5,26,0.601728260869565,0.198613614130435,425.838461538462
"8","storm_8","2016-10-29 09:45:00","2016-10-30 23:00:00",17665.2,4323806.1,37.5,0.960065217391304,0.234989461956522,471.072
"9","storm_9","2016-11-03 09:30:00","2016-11-04 10:00:00",15885.9,4274981.1,24.75,0.863364130434783,0.232335929347826,641.854545454545
"10","storm_11","2016-11-15 20:30:00","2016-11-16 06:15:00",2851.2,1278362.7,10,0.15495652173913,0.0694762336956522,285.12
"11","storm_12","2016-11-20 06:30:00","2016-11-22 14:00:00",40354.2,9836981.1,55.75,2.19316304347826,0.534618538043478,723.842152466368
"12","storm_13","2014-10-23 11:00:00","2014-10-25 17:45:00",48651.3,11111305.5,55,2.64409239130435,0.603875298913043,884.569090909091
"13","storm_14","2016-11-24 10:30:00","2016-11-24 21:30:00",3973.5,1656375.3,11.25,0.215951086956522,0.0900203967391304,353.2
"14","storm_15","2016-12-01 12:15:00","2016-12-02 05:30:00",17234.1,3394393.2,17.5,0.936635869565217,0.184477891304348,984.805714285714
"15","storm_24","2014-10-25 18:00:00","2014-10-27 16:30:00",32915.7,8991760.5,46.75,1.78889673913043,0.488682635869565,704.079144385027
"16","storm_35","2014-11-06 19:00:00","2014-11-09 12:45:00",29692.8,8396973.9,39.25,1.61373913043478,0.456357277173913,756.504458598726
"17","storm_46","2015-04-09 14:15:00","2015-04-12 15:15:00",117042.3,64767678.3,73.25,6.36099456521739,3.51998251630435,1597.84709897611
"18","storm_56","2018-04-13 17:15:00","2018-04-15 11:00:00",137290.5,78285744,42,7.4614402173913,4.25466,3268.82142857143
"19","storm_57","2015-04-13 14:30:00","2015-04-16 15:15:00",78710.4,36633704.4,73,4.27773913043478,1.99096219565217,1078.22465753425
"20","storm_58","2018-04-16 02:30:00","2018-04-18 13:45:00",334081.8,189153912.6,59.5,18.1566195652174,10.2801039456522,5614.82016806723
"21","storm_59","2018-04-25 12:15:00","2018-04-27 14:00:00",146908.8,63746133.3,50,7.98417391304348,3.46446376630435,2938.176
"22","storm_60","2018-04-28 16:00:00","2018-05-01 16:00:00",272431.8,119724679.8,72.25,14.8060760869565,6.50677607608696,3770.68235294118
"23","storm_61","2018-05-04 17:15:00","2018-05-05 18:00:00",51883.2,15795421.2,25,2.81973913043478,0.858446804347826,2075.328
"24","storm_62","2018-05-15 08:00:00","2018-05-16 17:45:00",40337.1,21430059.3,34,2.19223369565217,1.16467713586957,1186.38529411765
"25","storm_63","2018-05-19 13:00:00","2018-05-19 23:15:00",5732.1,3869609.4,10.5,0.311527173913044,0.210304858695652,545.914285714286
"26","storm_64","2018-05-20 08:45:00","2018-05-20 19:45:00",7411.5,4356073.8,11.25,0.402798913043478,0.236743141304348,658.8
"27","storm_65","2018-05-22 15:15:00","2018-05-23 18:15:00",25419.6,13595211.9,27.25,1.3815,0.738870211956522,932.829357798165
"28","storm_66","2018-06-01 22:45:00","2018-06-02 19:45:00",13406.4,9714065.4,21.25,0.728608695652174,0.527938336956522,630.889411764706
"29","storm_67","2018-06-03 19:00:00","2018-06-05 18:00:00",27377.1,16446340.8,47.25,1.48788586956522,0.893822869565217,579.409523809524
"30","storm_68","2015-04-20 07:30:00","2015-04-21 03:45:00",25072.2,10169064,20.5,1.36261956521739,0.55266652173913,1223.03414634146
"31","storm_69","2018-06-13 21:15:00","2018-06-14 09:45:00",3166.2,3042898.2,12.75,0.172076086956522,0.165374902173913,248.329411764706
"32","storm_70","2018-06-14 18:00:00","2018-06-15 17:15:00",7315.2,6536812.5,23.5,0.397565217391304,0.355261548913043,311.285106382979
"33","storm_71","2018-06-18 12:30:00","2018-06-20 03:15:00",140229.9,53041124.7,39,7.6211902173913,2.88266982065217,3595.63846153846
"34","storm_72","2018-06-24 21:30:00","2018-06-25 13:15:00",4720.5,3925952.1,16,0.256548913043478,0.213366961956522,295.03125
"35","storm_73","2018-06-28 14:15:00","2018-06-29 13:30:00",17664.3,5936725.8,23.5,0.960016304347826,0.322648141304348,751.672340425532
"36","storm_74","2018-07-02 19:15:00","2018-07-03 06:15:00",2059.2,1288898.1,11.25,0.111913043478261,0.0700488097826087,183.04
"37","storm_75","2018-07-06 02:00:00","2018-07-06 21:45:00",6822,4519278.9,20,0.370760869565217,0.245612983695652,341.1
"38","storm_76","2018-07-10 22:00:00","2018-07-11 15:45:00",4464,2756629.8,18,0.242608695652174,0.149816836956522,248
"39","storm_77","2018-07-22 10:45:00","2018-07-22 16:30:00",736.2,455762.7,6,0.0400108695652174,0.0247697119565217,122.7
"40","storm_78","2018-07-23 12:00:00","2018-07-23 23:00:00",1943.1,1184935.5,11.25,0.105603260869565,0.0643986684782609,172.72
"41","storm_79","2015-04-21 05:30:00","2015-04-22 12:45:00",84254.4,31054440.6,31.5,4.57904347826087,1.68774133695652,2674.74285714286
"42","storm_80","2018-07-25 21:00:00","2018-07-26 18:00:00",65791.8,29134350,21.25,3.57564130434783,1.58338858695652,3096.08470588235
"43","storm_81","2018-07-28 18:00:00","2018-07-29 11:45:00",7013.7,4485864.6,18,0.381179347826087,0.243796989130435,389.65
"44","storm_82","2018-08-04 00:45:00","2018-08-05 01:30:00",4933.8,3663596.7,25,0.268141304347826,0.199108516304348,197.352
"45","storm_83","2018-08-07 20:00:00","2018-08-08 18:00:00",10840.5,4834070.1,22.25,0.589157608695652,0.262721201086957,487.213483146067
"46","storm_84","2018-08-09 23:30:00","2018-08-10 08:30:00",2031.3,1148526,9.25,0.110396739130435,0.0624198913043478,219.6
"47","storm_85","2018-08-14 04:15:00","2018-08-14 13:45:00",1708.2,1036508.4,9.75,0.0928369565217391,0.0563319782608696,175.2
