"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.098",32
"2","FC = 0.98, SFT = 0.098",42
"3","FC = 0.996, SFT = 0.1",33
"4","FC = 0.98, SFT = 0.1",39
"5","FC = 0.996, SFT = 0.12",34
"6","FC = 0.98, SFT = 0.12",42
