"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"1","FC = 0.996, SFT = 0.098","2014-07-27 11:45:00","2014-07-29 23:30:00",75551.8499573972,12312599.3163283,60,1259.19749928995,0.996,"0.098","storm_1",4.10607880203245,0.669163006322191
"2","FC = 0.996, SFT = 0.098","2014-07-31 14:00:00","2014-08-01 01:00:00",5963.0098042689,1796294.40564851,11.25,530.045315935013,0.996,"0.098","storm_2",0.324076619797223,0.0976246959591579
"3","FC = 0.996, SFT = 0.098","2014-08-13 16:15:00","2014-08-14 20:30:00",35497.4643405219,4653994.88705197,28.5,1245.52506457972,0.996,"0.098","storm_3",1.92921001850663,0.252934504731085
"4","FC = 0.996, SFT = 0.098","2014-09-02 22:45:00","2014-09-03 09:45:00",4919.74132383847,2072938.53465441,11.25,437.310339896753,0.996,"0.098","storm_4",0.267377245860786,0.112659702970348
"5","FC = 0.996, SFT = 0.098","2014-09-06 14:15:00","2014-09-07 04:30:00",8490.54002822838,2856069.89017218,14.5,585.554484705405,0.996,"0.098","storm_5",0.461442392838499,0.155221189683271
"6","FC = 0.996, SFT = 0.098","2014-10-04 15:00:00","2014-10-05 16:15:00",26241.5545664962,8508719.27049298,25.5,1029.08057123514,0.996,"0.098","storm_6",1.42617144383131,0.462430395135488
"7","FC = 0.996, SFT = 0.098","2014-10-16 11:30:00","2014-10-17 13:45:00",27400.067613388,5635702.59512244,26.5,1033.96481559955,0.996,"0.098","storm_7",1.48913410942326,0.306288184517524
"8","FC = 0.996, SFT = 0.098","2014-10-18 13:30:00","2014-10-19 14:45:00",15534.9749248743,3113274.29359085,25.5,609.214702936248,0.996,"0.098","storm_8",0.8442921154823,0.169199689869068
"9","FC = 0.996, SFT = 0.098","2014-10-23 18:15:00","2014-10-25 02:15:00",19882.0457286954,4362271.97370431,32.25,616.497541975051,0.996,"0.098","storm_9",1.08054596351605,0.237079998570886
"10","FC = 0.996, SFT = 0.098","2014-11-07 02:45:00","2014-11-09 00:45:00",12298.8528053267,3188987.73177441,19.5,630.710400273166,0.996,"0.098","storm_10",0.668415913332975,0.173314550639914
"11","FC = 0.996, SFT = 0.098","2015-04-07 16:00:00","2015-04-12 08:30:00",96598.7577946491,56322250.4825213,112.75,856.751732103318,0.996,"0.098","storm_11",5.24993248883962,3.06099187405007
"12","FC = 0.996, SFT = 0.098","2015-04-12 21:45:00","2015-04-13 08:15:00",5391.13330718628,2989416.852594,10.75,501.500772761514,0.996,"0.098","storm_12",0.292996375390558,0.162468307206196
"13","FC = 0.996, SFT = 0.098","2015-04-14 02:30:00","2015-04-15 08:30:00",15962.3061640644,7089103.83695172,30.25,527.679542613699,0.996,"0.098","storm_13",0.867516639351327,0.385277382443028
"14","FC = 0.996, SFT = 0.098","2015-04-15 23:00:00","2015-04-16 08:30:00",4791.43619411214,2212600.95493068,9.75,491.429353242271,0.996,"0.098","storm_14",0.260404140984355,0.120250051898406
"15","FC = 0.996, SFT = 0.098","2015-04-17 07:30:00","2015-04-17 13:45:00",2993.47173663649,1489794.12452629,6.5,460.534113328691,0.996,"0.098","storm_15",0.16268868133894,0.0809670719851245
"16","FC = 0.996, SFT = 0.098","2015-04-17 20:45:00","2015-04-18 09:30:00",5541.71720974402,2214971.69316544,13,426.285939211078,0.996,"0.098","storm_16",0.301180283138262,0.120378896367687
