"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm"
"34","FC = 0.996, SFT = 0.098",2015-07-18,"2015-07-25 07:15:00",588514.262312479,168.5,3492.66624517792,0.996,"0.098","storm_34",12.2352237487002
"35","FC = 0.996, SFT = 0.098",2015-07-25,"2015-07-26 09:45:00",6581.78711555115,13,506.291316580858,0.996,"0.098","storm_35",0.136835490967799
"36","FC = 0.996, SFT = 0.098",2015-07-28,"2015-07-29 13:45:00",61062.0559758779,37.25,1639.24982485578,0.996,"0.098","storm_36",1.26948141321992
"37","FC = 0.996, SFT = 0.098",2015-07-30,"2015-08-01 01:30:00",20568.0177206082,29,709.241990365799,0.996,"0.098","storm_37",0.42760951602096
"38","FC = 0.996, SFT = 0.098",2015-08-11,"2015-08-13 02:15:00",19154.1191597753,33.5,571.764751038069,0.996,"0.098","storm_38",0.398214535546264
"39","FC = 0.996, SFT = 0.098",2015-08-15,"2015-08-15 13:45:00",2165.92514117487,5.75,376.682633247803,0.996,"0.098","storm_39",0.0450296287146542
"40","FC = 0.996, SFT = 0.098",2015-09-08,"2015-09-09 03:30:00",9801.32836468954,18.75,522.737512783442,0.996,"0.098","storm_40",0.203769820471716
"41","FC = 0.996, SFT = 0.098",2015-09-09,"2015-09-10 04:30:00",9532.0782780852,19.25,495.172897562868,0.996,"0.098","storm_41",0.198172105573497
"42","FC = 0.996, SFT = 0.098",2015-09-14,"2015-09-15 23:30:00",35244.1563272596,43.75,805.580716051649,0.996,"0.098","storm_42",0.732726742770471
"43","FC = 0.996, SFT = 0.098",2015-09-30,"2015-10-02 23:15:00",128102.986592774,64.75,1978.42450336331,0.996,"0.098","storm_43",2.66326375452753
"44","FC = 0.996, SFT = 0.098",2015-10-09,"2015-10-11 09:00:00",26922.7603419174,37,727.642171403174,0.996,"0.098","storm_44",0.559724747233211
"45","FC = 0.996, SFT = 0.098",2015-10-28,"2015-10-31 22:30:00",192692.488875692,74,2603.95255237422,0.996,"0.098","storm_45",4.00608084980649
"46","FC = 0.996, SFT = 0.098",2015-11-01,"2015-11-03",16746.4013751979,30.75,544.598418705624,0.996,"0.098","storm_46",0.348158032748398
"47","FC = 0.996, SFT = 0.098",2015-11-13,"2015-11-16 09:45:00",112216.675400649,74.25,1511.33569563164,0.996,"0.098","storm_47",2.33298701456652
"48","FC = 0.996, SFT = 0.098",2015-11-20,"2016-04-05 04:00:00",100230.99956239,24.25,4133.23709535631,0.996,"0.098","storm_48",2.08380456470666
"49","FC = 0.996, SFT = 0.098",2016-04-05,"2016-04-06 07:15:00",20013.1329428877,21.5,930.843392692452,0.996,"0.098","storm_49",0.416073449956086
"50","FC = 0.996, SFT = 0.098",2016-04-19,"2016-04-20 11:00:00",31478.9096311546,32.5,968.581834804756,0.996,"0.098","storm_50",0.654447185678889
"51","FC = 0.996, SFT = 0.098",2016-04-22,"2016-04-25 06:00:00",79465.5314552728,66.75,1190.49485326251,0.996,"0.098","storm_51",1.65209005104517
"52","FC = 0.996, SFT = 0.098",2016-04-26,"2016-04-28 01:15:00",14866.7767919568,30.25,491.463695601878,0.996,"0.098","storm_52",0.309080598585381
"53","FC = 0.996, SFT = 0.098",2016-05-02,"2016-05-05 09:45:00",85877.9749492914,79,1087.06297404166,0.996,"0.098","storm_53",1.78540488460065
"54","FC = 0.996, SFT = 0.098",2016-05-08,"2016-05-10 03:30:00",36621.6238673797,38.25,957.428074964176,0.996,"0.098","storm_54",0.761364321567146
