"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"27","FC = 0.996, SFT = 0.1","2015-06-12 19:45:00","2015-06-15 20:15:00",374113.654246183,1432618163.13396,72.75,7.77783064960879,29.7841613957164,5142.45572846987,0.996,"0.1","storm_27"
"28","FC = 0.996, SFT = 0.1","2015-06-16 13:00:00","2015-06-18 12:00:00",104008.902890148,354908472.734828,47.25,2.16234725343342,7.37855452671161,2201.24662201371,0.996,"0.1","storm_28"
"29","FC = 0.996, SFT = 0.1","2015-06-19 00:15:00","2015-06-20 19:00:00",90172.2030644706,322364128.278354,43,1.87468197639232,6.70195692886392,2097.0279782435,0.996,"0.1","storm_29"
"30","FC = 0.996, SFT = 0.1","2015-06-21 08:30:00","2015-06-26 23:15:00",817564.768770807,2083406400.96878,135,16.9971885399336,43.3140623902033,6056.0353242282,0.996,"0.1","storm_30"
"31","FC = 0.996, SFT = 0.1","2015-06-28 11:00:00","2015-06-30 06:30:00",42274.3376410199,135470772.924469,43.75,0.878884358441163,2.81644018553989,966.270574651884,0.996,"0.1","storm_31"
"32","FC = 0.996, SFT = 0.1","2015-07-01 13:00:00","2015-07-06 01:00:00",247817.981469413,1086863510.97325,103.75,5.15214098689008,22.5959149890488,2388.60705030759,0.996,"0.1","storm_32"
"33","FC = 0.996, SFT = 0.1","2015-07-08 06:30:00","2015-07-11 00:45:00",78866.0281084732,238856905.963355,66.5,1.63962636400152,4.96584004081819,1185.95530990185,0.996,"0.1","storm_33"
"34","FC = 0.996, SFT = 0.1","2015-07-18 07:15:00","2015-07-25 07:15:00",588424.948048653,2003851174.44237,168.25,12.2333669032984,41.6601075767645,3497.32509984341,0.996,"0.1","storm_34"
"35","FC = 0.996, SFT = 0.1","2015-07-25 21:00:00","2015-07-26 09:45:00",6581.78711555115,23175205.2215316,13,0.136835490967799,0.48181299836864,506.291316580858,0.996,"0.1","storm_35"
"36","FC = 0.996, SFT = 0.1","2015-07-28 00:45:00","2015-07-29 12:00:00",60431.5597996588,147750758.464876,35.5,1.25637338460829,3.07174134022612,1702.29745914532,0.996,"0.1","storm_36"
"37","FC = 0.996, SFT = 0.1","2015-07-30 21:00:00","2015-08-01 00:15:00",20033.8320752807,56743994.0916718,27.5,0.416503785348871,1.17970881687467,728.502984555662,0.996,"0.1","storm_37"
"38","FC = 0.996, SFT = 0.1","2015-08-11 17:00:00","2015-08-13 02:00:00",19064.7819445178,31706630.8895539,33.25,0.396357212983739,0.659181515375342,573.376900587003,0.996,"0.1","storm_38"
"39","FC = 0.996, SFT = 0.1","2015-08-15 08:30:00","2015-08-15 13:30:00",1987.06417444735,2713340.49998965,5.25,0.041311105497866,0.0564104054051902,378.488414180448,0.996,"0.1","storm_39"
"40","FC = 0.996, SFT = 0.1","2015-09-08 09:00:00","2015-09-09 03:15:00",9712.78103764246,1731582.57009978,18.5,0.201928919701506,0.0359996376320121,525.015191223917,0.996,"0.1","storm_40"
"41","FC = 0.996, SFT = 0.1","2015-09-09 09:30:00","2015-09-10 04:15:00",9442.41545463885,8587808.23091102,19,0.196308013609955,0.178540711661352,496.969234454676,0.996,"0.1","storm_41"
"42","FC = 0.996, SFT = 0.1","2015-09-14 04:15:00","2015-09-15 23:15:00",35066.2377416111,28988762.5313187,43.25,0.729027811675906,0.602676975703092,810.780063389852,0.996,"0.1","storm_42"
"43","FC = 0.996, SFT = 0.1","2015-09-30 07:00:00","2015-10-02 23:00:00",127924.753795039,234533040.351238,64.25,2.65955829095715,4.87594678484903,1991.04675167375,0.996,"0.1","storm_43"
"44","FC = 0.996, SFT = 0.1","2015-10-09 20:30:00","2015-10-11 08:45:00",26743.7329752556,54000988.9871617,36.5,0.556002764558329,1.12268168372478,732.705013020702,0.996,"0.1","storm_44"
"45","FC = 0.996, SFT = 0.1","2015-10-28 20:45:00","2015-10-31 22:15:00",192602.904825176,632969074.118116,73.75,4.00421839553379,13.1594402103559,2611.56481118882,0.996,"0.1","storm_45"
"46","FC = 0.996, SFT = 0.1","2015-11-01 17:30:00","2015-11-02 23:45:00",16657.0265327076,60767857.6565346,30.5,0.346299927914919,1.26336502404438,546.132017465823,0.996,"0.1","storm_46"
"47","FC = 0.996, SFT = 0.1","2015-11-13 08:00:00","2015-11-16 09:45:00",112127.381253585,301268356.579896,74,2.33113058739262,6.26337539667143,1515.2348818052,0.996,"0.1","storm_47"
"48","FC = 0.996, SFT = 0.1","2015-11-20 01:15:00","2016-04-05 04:00:00",100230.99956239,294151231.606056,24.25,2.08380456470666,6.11541022050013,4133.23709535631,0.996,"0.1","storm_48"
"49","FC = 0.996, SFT = 0.1","2016-04-05 10:00:00","2016-04-06 07:15:00",20013.1329428877,56390771.7475688,21.5,0.416073449956086,1.17236531699727,930.843392692452,0.996,"0.1","storm_49"
"50","FC = 0.996, SFT = 0.1","2016-04-19 02:45:00","2016-04-20 10:45:00",31389.1169366946,68386393.5017454,32.25,0.652580393694273,1.42175454265583,973.305951525412,0.996,"0.1","storm_50"
"51","FC = 0.996, SFT = 0.1","2016-04-22 11:45:00","2016-04-25 05:45:00",79286.6016691204,130980158.519213,66.25,1.64837009707111,2.72308021869465,1196.7788931188,0.996,"0.1","storm_51"
"52","FC = 0.996, SFT = 0.1","2016-04-26 19:15:00","2016-04-28 01:15:00",14866.7767919568,31958376.7689562,30.25,0.309080598585381,0.664415317441917,491.463695601878,0.996,"0.1","storm_52"
"53","FC = 0.996, SFT = 0.1","2016-05-02 03:00:00","2016-05-05 09:30:00",85788.2409220844,125472983.427133,78.75,1.78353931230945,2.60858593403603,1089.37448789948,0.996,"0.1","storm_53"
"54","FC = 0.996, SFT = 0.1","2016-05-08 13:30:00","2016-05-10 03:15:00",36532.7599742738,56269297.2627705,38,0.759516839381992,1.16983985993286,961.388420375626,0.996,"0.1","storm_54"
"55","FC = 0.996, SFT = 0.1","2016-05-15 05:45:00","2016-05-16 13:00:00",18298.1535805841,24028958.7512808,31.5,0.380418993359336,0.49956255200168,580.893764462986,0.996,"0.1","storm_55"
"56","FC = 0.996, SFT = 0.1","2016-05-29 17:15:00","2016-05-31 23:15:00",130741.072153654,525315555.233562,54.25,2.71810960818408,10.9213213146271,2409.97368025169,0.996,"0.1","storm_56"
"57","FC = 0.996, SFT = 0.1","2016-06-05 18:45:00","2016-06-08 16:30:00",131839.92874607,663586332.740652,70,2.74095485958566,13.7959736536518,1883.42755351529,0.996,"0.1","storm_57"
"58","FC = 0.996, SFT = 0.1","2016-06-28 21:00:00","2016-06-29 06:00:00",3902.50179042752,2666161.19819901,9.25,0.0811330933560814,0.0554295467401042,421.892085451623,0.996,"0.1","storm_58"
"59","FC = 0.996, SFT = 0.1","2016-07-14 17:30:00","2016-07-15 12:30:00",13190.7601171811,6702618.14013705,19.25,0.274236177072373,0.13934757048102,685.234291801618,0.996,"0.1","storm_59"
"60","FC = 0.996, SFT = 0.1","2016-07-18 15:15:00","2016-07-19 02:30:00",7916.45967504133,5599518.93334813,11.5,0.164583361227471,0.116414115038423,688.387797829681,0.996,"0.1","storm_60"
"61","FC = 0.996, SFT = 0.1","2016-07-23 17:00:00","2016-07-24 21:30:00",20438.2544440696,18376165.1204192,28.75,0.424911734803941,0.382040854894369,710.895806750246,0.996,"0.1","storm_61"
"62","FC = 0.996, SFT = 0.1","2016-08-13 14:15:00","2016-08-15 07:30:00",31061.0369606975,17689610.9570903,41.5,0.645759604172506,0.367767379565287,748.458721944519,0.996,"0.1","storm_62"
"63","FC = 0.996, SFT = 0.1","2016-08-17 01:00:00","2016-08-18 08:00:00",20529.1676851349,15818489.5590505,31.25,0.426801822975778,0.328866726799388,656.933365924318,0.996,"0.1","storm_63"
"64","FC = 0.996, SFT = 0.1","2016-08-21 21:15:00","2016-08-23 13:00:00",52455.4782472825,69780171.4814406,40,1.09055048331149,1.45073121583037,1311.38695618206,0.996,"0.1","storm_64"
"65","FC = 0.996, SFT = 0.1","2016-08-28 22:15:00","2016-08-31 02:00:00",157871.367652926,433336006.87175,52,3.28214901565335,9.00906459192828,3035.98783947935,0.996,"0.1","storm_65"
"66","FC = 0.996, SFT = 0.1","2016-08-31 16:00:00","2016-09-04 02:45:00",263276.215836139,912290178.797992,83,5.47351800075133,18.966531783742,3172.00260043541,0.996,"0.1","storm_66"
"67","FC = 0.996, SFT = 0.1","2016-09-09 13:30:00","2016-09-09 18:45:00",2506.13440882813,5270503.14682431,5.5,0.0521025864621233,0.109573869996347,455.660801605115,0.996,"0.1","storm_67"
"68","FC = 0.996, SFT = 0.1","2016-09-11 06:30:00","2016-09-13 02:45:00",71729.290174234,149442623.243293,44.5,1.49125343397576,3.10691524414331,1611.89416121874,0.996,"0.1","storm_68"
