"Site","Datetime","Q_total","Q_old","Q_new"
"Wade",2022-04-07 00:02:00,1.537665419,0.0220295905300863,1.51563582846991
"Wade",2022-04-07 00:17:00,1.56714684,0.0269423525501427,1.54020448744986
"Wade",2022-04-07 00:32:00,1.597149944,0.0320345260974213,1.56511541790258
"Wade",2022-04-07 00:47:00,1.452268467,0.0249673661948419,1.42730110080516
"Wade",2022-04-07 01:02:00,1.480234391,0.0296895150057308,1.45054487599427
"Wade",2022-04-07 01:17:00,1.508697342,0.0259374901203433,1.48275985187966
"Wade",2022-04-07 01:32:00,1.480234391,0.0296895150057308,1.45054487599427
"Wade",2022-04-07 01:47:00,1.424791591,0.0326599791633245,1.39213161183668
"Wade",2022-04-07 02:02:00,1.3977959,0.0280360209169056,1.36975987908309
"Wade",2022-04-07 02:17:00,1.424791591,0.0285774817679084,1.39621410923209
"Wade",2022-04-07 02:32:00,1.371273647,0.0275040559570202,1.34376959104298
"Wade",2022-04-07 02:47:00,1.345217199,0.0308359243323789,1.31438127466762
"Wade",2022-04-07 03:02:00,1.371273647,0.0275040559570202,1.34376959104298
"Wade",2022-04-07 03:17:00,1.345217199,0.0269814337908311,1.31823576520917
"Wade",2022-04-07 03:32:00,1.345217199,0.0231269432492832,1.32209025575072
"Wade",2022-04-07 03:47:00,1.452268467,0.0249673661948419,1.42730110080516
"Wade",2022-04-07 04:02:00,1.345217199,0.0192724527077367,1.32594474629226
"Wade",2022-04-07 04:17:00,1.319619033,0.0151245734441258,1.30449445955587
"Wade",2022-04-07 04:32:00,1.269768017,0.0145532150945556,1.25521480190544
"Wade",2022-04-07 04:47:00,1.269768017,0.0145532150945556,1.25521480190544
"Wade",2022-04-07 05:02:00,1.319619033,0.011343430083095,1.3082756029169
"Wade",2022-04-07 05:17:00,1.245500671,0.0107063094928371,1.23479436150716
"Wade",2022-04-07 05:32:00,1.19824687,0.00686674424068754,1.19138012575931
"Wade",2022-04-07 05:47:00,1.294471739,0.0111272642320921,1.28334447476791
"Wade",2022-04-07 06:02:00,1.319619033,0.00378114336103211,1.31583788963897
"Wade",2022-04-07 06:17:00,1.269768017,0,1.269768017
"Wade",2022-04-07 06:32:00,1.221662616,0,1.221662616
"Wade",2022-04-07 06:47:00,1.319619033,0,1.319619033
"Wade",2022-04-07 07:02:00,1.319619033,0,1.319619033
"Wade",2022-04-07 07:17:00,1.269768017,0,1.269768017
"Wade",2022-04-07 07:32:00,1.294471739,0.00370908807736448,1.29076265092264
"Wade",2022-04-07 07:47:00,1.371273647,0.00392915085100348,1.367344496149
"Wade",2022-04-07 08:02:00,1.345217199,0.0462538864985677,1.29896331250143
"Wade",2022-04-07 08:17:00,1.294471739,0.0630544973151869,1.23141724168481
"Wade",2022-04-07 08:32:00,1.319619033,0.0151245734441258,1.30449445955587
"Wade",2022-04-07 08:47:00,1.345217199,0.0115634716246423,1.33365372737536
"Wade",2022-04-07 09:02:00,1.345217199,0.0154179621661888,1.32979923683381
"Wade",2022-04-07 09:17:00,1.269768017,0.0145532150945556,1.25521480190544
"Wade",2022-04-07 09:32:00,1.269768017,0.0218298226418334,1.24793819435817
"Wade",2022-04-07 09:47:00,1.371273647,0.0275040559570202,1.34376959104298
"Wade",2022-04-07 10:02:00,1.319619033,0.0302491468882529,1.28936988611175
"Wade",2022-04-07 10:17:00,1.294471739,0.0296727046189119,1.26479903438109
"Wade",2022-04-07 10:32:00,1.319619033,0.0378114336103157,1.28180759938968
"Wade",2022-04-07 10:47:00,1.319619033,0.0340302902492836,1.28558874275072
"Wade",2022-04-07 11:02:00,1.319619033,0.0378114336103157,1.28180759938968
"Wade",2022-04-07 11:17:00,1.319619033,0.0378114336103157,1.28180759938968
"Wade",2022-04-07 11:32:00,1.269768017,0.0363830377363902,1.23338497926361
"Wade",2022-04-07 11:47:00,1.269768017,0.0400213415100285,1.22974667548997
"Wade",2022-04-07 12:02:00,1.345217199,0.0385449054154733,1.30667229358453
"Wade",2022-04-07 12:17:00,1.269768017,0.0363830377363902,1.23338497926361
"Wade",2022-04-07 12:32:00,1.345217199,0.0462538864985677,1.29896331250143
"Wade",2022-04-07 13:02:00,1.245500671,0.0463940078022919,1.19910666319771
"Wade",2022-04-07 13:17:00,1.269768017,0.054574556604584,1.21519346039542
"Wade",2022-04-07 13:32:00,1.221662616,0.0525069892263606,1.16915562677364
"Wade",2022-04-07 13:47:00,1.371273647,0.0589372627650425,1.31233638423496
"Wade",2022-04-07 14:02:00,1.3977959,0.0680874793696282,1.32970842063037
"Wade",2022-04-07 14:17:00,1.345217199,0.0732353202893988,1.2719818787106
"Wade",2022-04-07 14:32:00,1.424791591,0.0857324453037253,1.33905914569627
"Wade",2022-04-07 14:47:00,1.452268467,0.0915470093810884,1.36072145761891
"Wade",2022-04-07 15:02:00,1.537665419,0.101336116438396,1.4363293025616
"Wade",2022-04-07 15:17:00,1.508697342,0.0994270454613183,1.40927029653868
"Wade",2022-04-07 15:32:00,1.537665419,0.105742034544412,1.43192338445559
"Wade",2022-04-07 15:47:00,1.627683194,0.125923914722063,1.50175927927794
"Wade",2022-04-07 16:02:00,1.72255033,0.153005903237822,1.56954442676218
"Wade",2022-04-07 16:17:00,1.72255033,0.162877251833812,1.55967307816619
"Wade",2022-04-07 16:32:00,1.964126967,0.174463999934097,1.7896629670659
"Wade",2022-04-07 16:47:00,2.07694392,0.184484990028653,1.89245892997135
"Wade",2022-04-07 17:02:00,2.278366295,0.195848105587393,2.08251818941261
"Wade",2022-04-07 17:17:00,2.36387493,0.203198418051577,2.16067651194842
"Wade",2022-04-07 17:32:00,2.522720164,0.187939038005732,2.33478112599427
"Wade",2022-04-07 17:47:00,2.539175045,0.167338183481376,2.37183686151862
"Wade",2022-04-07 18:02:00,2.559770223,0.146691703323782,2.41307851967622
"Wade",2022-04-07 18:17:00,2.563892802,0.161620749696274,2.40227205230373
"Wade",2022-04-07 18:32:00,2.588653056,0.200268288,2.388384768
"Wade",2022-04-07 18:47:00,2.584523397,0.244381868484242,2.34014152851576
"Wade",2022-04-07 19:02:00,2.60104911,0.320473099512894,2.28057601048711
"Wade",2022-04-07 19:17:00,2.60104911,0.395001727306591,2.20604738269341
"Wade",2022-04-07 19:32:00,2.60104911,0.521700394555874,2.07934871544413
"Wade",2022-04-07 19:47:00,2.621732784,0.570921752389686,2.05081103161031
"Wade",2022-04-07 20:02:00,2.60104911,0.61113474790831,1.98991436209169
"Wade",2022-04-07 20:17:00,2.613455778,0.636515017564471,1.97694076043553
"Wade",2022-04-07 20:32:00,2.630014504,0.648083803277937,1.98193070072206
"Wade",2022-04-07 20:47:00,2.617593692,0.660023624343839,1.95757006765616
"Wade",2022-04-07 21:02:00,2.613455778,0.688933901363898,1.9245218766361
"Wade",2022-04-07 21:17:00,2.60104911,0.685663375702007,1.91538573429799
"Wade",2022-04-07 21:32:00,2.621732784,0.721164318808024,1.90056846519198
"Wade",2022-04-07 21:47:00,2.625873055,0.729827181475644,1.89604587352436
"Wade",2022-04-07 22:02:00,2.60104911,0.730380552378224,1.87066855762178
"Wade",2022-04-07 22:17:00,2.625873055,0.73735117303725,1.88852188196275
"Wade",2022-04-07 22:32:00,2.596915913,0.706896881762177,1.89001903123782
"Wade",2022-04-07 22:47:00,2.613455778,0.718887549249285,1.89456822875072
"Wade",2022-04-07 23:02:00,2.621732784,0.721164318808024,1.90056846519198
"Wade",2022-04-07 23:17:00,2.634157132,0.717034176332378,1.91712295566762
"Wade",2022-04-07 23:32:00,2.596915913,0.714337901570202,1.8825780114298
"Wade",2022-04-07 23:47:00,2.609319043,0.710273091934097,1.8990459510659
"Wade",2022-04-08 00:02:00,2.592783895,0.713201300630373,1.87958259436963
"Wade",2022-04-08 00:17:00,2.617593692,0.720025772011462,1.89756791998854
"Wade",2022-04-08 00:32:00,2.60104911,0.715474826819485,1.88557428318051
"Wade",2022-04-08 00:47:00,2.60104911,0.693116238481375,1.90793287151862
"Wade",2022-04-08 01:02:00,2.576267619,0.730803708541546,1.84546391045845
"Wade",2022-04-08 01:17:00,2.580394918,0.717187126206303,1.8632077917937
"Wade",2022-04-08 01:32:00,2.584523397,0.725740094286534,1.85878330271347
"Wade",2022-04-08 01:47:00,2.588653056,0.726899712000001,1.861753344
"Wade",2022-04-08 02:02:00,2.576267619,0.730803708541546,1.84546391045845
"Wade",2022-04-08 02:17:00,2.576267619,0.752949275467049,1.82331834353295
"Wade",2022-04-08 02:32:00,2.576267619,0.760331131108884,1.81593648789112
"Wade",2022-04-08 02:47:00,2.60104911,0.760192003495702,1.8408571065043
"Wade",2022-04-08 03:02:00,2.60104911,0.767644866275073,1.83340424372493
"Wade",2022-04-08 03:17:00,2.617593692,0.757527114303726,1.86006657769627
"Wade",2022-04-08 03:32:00,2.617593692,0.727526040469913,1.89006765153009
"Wade",2022-04-08 03:47:00,2.630014504,0.723442385054442,1.90657211894556
"Wade",2022-04-08 04:02:00,2.659037633,0.662854653498568,1.99618297950143
"Wade",2022-04-08 04:17:00,2.696437843,0.571737536911174,2.12470030608883
"Wade",2022-04-08 04:32:00,2.729762451,0.539695155068769,2.19006729593123
"Wade",2022-04-08 04:47:00,2.779890336,0.493848712985674,2.28604162301433
"Wade",2022-04-08 05:02:00,2.834386205,0.316736567320917,2.51764963767908
"Wade",2022-04-08 05:17:00,2.880652754,0.198096464458452,2.68255628954155
