"Site","Datetime","Q_total","Q_old","Q_new"
"Wade",2022-04-07 00:02:00,1.537665419,0.0098316203260871,1.52783379867391
"Wade",2022-04-07 00:17:00,1.56714684,0.0120241445524294,1.55512269544757
"Wade",2022-04-07 00:32:00,1.597149944,0.0142967386291561,1.58285320537084
"Wade",2022-04-07 00:47:00,1.452268467,0.0111427248107414,1.44112574218926
"Wade",2022-04-07 01:02:00,1.480234391,0.0132501799705883,1.46698421102941
"Wade",2022-04-07 01:17:00,1.508697342,0.011575682930946,1.49712165906905
"Wade",2022-04-07 01:32:00,1.480234391,0.0132501799705883,1.46698421102941
"Wade",2022-04-07 01:47:00,1.424791591,0.0145758730537088,1.41021571794629
"Wade",2022-04-07 02:02:00,1.3977959,0.0125122395140665,1.38528366048593
"Wade",2022-04-07 02:17:00,1.424791591,0.0127538889219949,1.41203770207801
"Wade",2022-04-07 02:32:00,1.371273647,0.0122748280421995,1.3589988189578
"Wade",2022-04-07 02:47:00,1.345217199,0.0137618127774939,1.33145538622251
"Wade",2022-04-07 03:02:00,1.371273647,0.0122748280421995,1.3589988189578
"Wade",2022-04-07 03:17:00,1.345217199,0.012041586180307,1.33317561281969
"Wade",2022-04-07 03:32:00,1.345217199,0.01032135958312,1.33489583941688
"Wade",2022-04-07 03:47:00,1.452268467,0.0111427248107414,1.44112574218926
"Wade",2022-04-07 04:02:00,1.345217199,0.00860113298593362,1.33661606601407
"Wade",2022-04-07 04:17:00,1.319619033,0.00674996947826073,1.31286906352174
"Wade",2022-04-07 04:32:00,1.269768017,0.00649497706905357,1.26327303993095
"Wade",2022-04-07 04:47:00,1.269768017,0.00649497706905357,1.26327303993095
"Wade",2022-04-07 05:02:00,1.319619033,0.00506247710869584,1.3145565558913
"Wade",2022-04-07 05:17:00,1.245500671,0.00477813556649634,1.2407225354335
"Wade",2022-04-07 05:32:00,1.19824687,0.00306456999999993,1.1951823
"Wade",2022-04-07 05:47:00,1.294471739,0.00496600411381093,1.28950573488619
"Wade",2022-04-07 06:02:00,1.319619033,0.00168749236956548,1.31793154063043
"Wade",2022-04-07 06:17:00,1.269768017,0,1.269768017
"Wade",2022-04-07 06:32:00,1.221662616,0,1.221662616
"Wade",2022-04-07 06:47:00,1.319619033,0,1.319619033
"Wade",2022-04-07 07:02:00,1.319619033,0,1.319619033
"Wade",2022-04-07 07:17:00,1.269768017,0,1.269768017
"Wade",2022-04-07 07:32:00,1.294471739,0.00165533470460384,1.2928164042954
"Wade",2022-04-07 07:47:00,1.371273647,0.00175354686317163,1.36952010013683
"Wade",2022-04-07 08:02:00,1.345217199,0.0206427191662406,1.32457447983376
"Wade",2022-04-07 08:17:00,1.294471739,0.0281406899782611,1.26633104902174
"Wade",2022-04-07 08:32:00,1.319619033,0.00674996947826073,1.31286906352174
"Wade",2022-04-07 08:47:00,1.345217199,0.0051606797915603,1.34005651920844
"Wade",2022-04-07 09:02:00,1.345217199,0.00688090638874666,1.33833629261125
"Wade",2022-04-07 09:17:00,1.269768017,0.00649497706905357,1.26327303993095
"Wade",2022-04-07 09:32:00,1.269768017,0.00974246560358035,1.26002555139642
"Wade",2022-04-07 09:47:00,1.371273647,0.0122748280421995,1.3589988189578
"Wade",2022-04-07 10:02:00,1.319619033,0.0134999389565221,1.30611909404348
"Wade",2022-04-07 10:17:00,1.294471739,0.013242677636829,1.28122906136317
"Wade",2022-04-07 10:32:00,1.319619033,0.0168749236956524,1.30274410930435
"Wade",2022-04-07 10:47:00,1.319619033,0.0151874313260869,1.30443160167391
"Wade",2022-04-07 11:02:00,1.319619033,0.0168749236956524,1.30274410930435
"Wade",2022-04-07 11:17:00,1.319619033,0.0168749236956524,1.30274410930435
"Wade",2022-04-07 11:32:00,1.269768017,0.0162374426726345,1.25353057432737
"Wade",2022-04-07 11:47:00,1.269768017,0.0178611869398976,1.2519068300601
"Wade",2022-04-07 12:02:00,1.345217199,0.0172022659718672,1.32801493302813
"Wade",2022-04-07 12:17:00,1.269768017,0.0162374426726345,1.25353057432737
"Wade",2022-04-07 12:32:00,1.345217199,0.0206427191662406,1.32457447983376
"Wade",2022-04-07 13:02:00,1.245500671,0.0207052541214832,1.22479541687852
"Wade",2022-04-07 13:17:00,1.269768017,0.0243561640089512,1.24541185299105
"Wade",2022-04-07 13:32:00,1.221662616,0.0234334261381072,1.19822918986189
"Wade",2022-04-07 13:47:00,1.371273647,0.0263032029475701,1.34497044405243
"Wade",2022-04-07 14:02:00,1.3977959,0.0303868673913046,1.3674090326087
"Wade",2022-04-07 14:17:00,1.345217199,0.0326843053465475,1.31253289365345
"Wade",2022-04-07 14:32:00,1.424791591,0.0382616667659848,1.38652992423402
"Wade",2022-04-07 14:47:00,1.452268467,0.040856657639386,1.41141180936061
"Wade",2022-04-07 15:02:00,1.537665419,0.0452254535000001,1.4924399655
"Wade",2022-04-07 15:17:00,1.508697342,0.0443734512352942,1.46432389076471
"Wade",2022-04-07 15:32:00,1.537665419,0.0471917775652171,1.49047364143478
"Wade",2022-04-07 15:47:00,1.627683194,0.0561987803554986,1.5714844136445
"Wade",2022-04-07 16:02:00,1.72255033,0.0682852432608693,1.65426508673913
"Wade",2022-04-07 16:17:00,1.72255033,0.0726907428260874,1.64985958717391
"Wade",2022-04-07 16:32:00,1.964126967,0.0778618107122759,1.88626515628772
"Wade",2022-04-07 16:47:00,2.07694392,0.0823340940153449,1.99460982598466
"Wade",2022-04-07 17:02:00,2.278366295,0.087405356585678,2.19096093841432
"Wade",2022-04-07 17:17:00,2.36387493,0.0906857390025578,2.27318919099744
"Wade",2022-04-07 17:32:00,2.522720164,0.0838756064757038,2.4388445575243
"Wade",2022-04-07 17:47:00,2.539175045,0.0746816189705884,2.46449342602941
"Wade",2022-04-07 18:02:00,2.559770223,0.0654672691304345,2.49430295386957
"Wade",2022-04-07 18:17:00,2.563892802,0.0721299765268538,2.49176282547315
"Wade",2022-04-07 18:32:00,2.588653056,0.0893780466905369,2.49927500930946
"Wade",2022-04-07 18:47:00,2.584523397,0.109065565346548,2.47545783165345
"Wade",2022-04-07 19:02:00,2.60104911,0.14302443955243,2.45802467044757
"Wade",2022-04-07 19:17:00,2.60104911,0.176285937122763,2.42476317287724
"Wade",2022-04-07 19:32:00,2.60104911,0.232830482992327,2.36821862700767
"Wade",2022-04-07 19:47:00,2.621732784,0.254797559570333,2.36693522442967
"Wade",2022-04-07 20:02:00,2.60104911,0.272744280076726,2.32830482992327
"Wade",2022-04-07 20:17:00,2.613455778,0.284071280217392,2.32938449778261
"Wade",2022-04-07 20:32:00,2.630014504,0.289234331641944,2.34078017235806
"Wade",2022-04-07 20:47:00,2.617593692,0.294562973012787,2.32303071898721
"Wade",2022-04-07 21:02:00,2.613455778,0.307465385647059,2.30599039235294
"Wade",2022-04-07 21:17:00,2.60104911,0.306005777647059,2.29504333235294
"Wade",2022-04-07 21:32:00,2.621732784,0.321849548930947,2.29988323506905
"Wade",2022-04-07 21:47:00,2.625873055,0.325715711425831,2.30015734357417
"Wade",2022-04-07 22:02:00,2.60104911,0.325962676189258,2.27508643381074
"Wade",2022-04-07 22:17:00,2.625873055,0.329073605358056,2.29679944964194
"Wade",2022-04-07 22:32:00,2.596915913,0.315482112193094,2.28143380080691
"Wade",2022-04-07 22:47:00,2.613455778,0.320833445892583,2.29262233210742
"Wade",2022-04-07 23:02:00,2.621732784,0.321849548930947,2.29988323506905
"Wade",2022-04-07 23:17:00,2.634157132,0.320006301202046,2.31415083079795
"Wade",2022-04-07 23:32:00,2.596915913,0.31880297653197,2.27811293646803
"Wade",2022-04-07 23:47:00,2.609319043,0.316988886297954,2.29233015670205
"Wade",2022-04-08 00:02:00,2.592783895,0.31829572112532,2.27448817387468
"Wade",2022-04-08 00:17:00,2.617593692,0.32134142510486,2.29625226689514
"Wade",2022-04-08 00:32:00,2.60104911,0.319310376675192,2.28173873332481
"Wade",2022-04-08 00:47:00,2.60104911,0.309331927404092,2.29171718259591
"Wade",2022-04-08 01:02:00,2.576267619,0.326151527213554,2.25011609178645
"Wade",2022-04-08 01:17:00,2.580394918,0.320074561439897,2.2603203565601
"Wade",2022-04-08 01:32:00,2.584523397,0.323891678907928,2.26063171809207
"Wade",2022-04-08 01:47:00,2.588653056,0.324409206506394,2.26424384949361
"Wade",2022-04-08 02:02:00,2.576267619,0.326151527213554,2.25011609178645
"Wade",2022-04-08 02:17:00,2.576267619,0.336034906826087,2.24023271217391
"Wade",2022-04-08 02:32:00,2.576267619,0.339329366696931,2.23693825230307
"Wade",2022-04-08 02:47:00,2.60104911,0.339267275217391,2.26178183478261
"Wade",2022-04-08 03:02:00,2.60104911,0.342593424974425,2.25845568502558
"Wade",2022-04-08 03:17:00,2.617593692,0.338077957662405,2.2795157343376
"Wade",2022-04-08 03:32:00,2.617593692,0.324688731616368,2.29290496038363
"Wade",2022-04-08 03:47:00,2.630014504,0.322866230670077,2.30714827332992
"Wade",2022-04-08 04:02:00,2.659037633,0.295826437430947,2.36321119556905
