"timestamp","q_cms","X","Timestamp","sC"
2022-01-01 20:17:00,1.383965691,82,"2022-01-01 20:17:00",533.03
2022-01-01 20:32:00,1.388973382,83,"2022-01-01 20:32:00",532.85
2022-01-01 20:47:00,1.404057794,84,"2022-01-01 20:47:00",532.78
2022-01-01 21:02:00,1.419234316,85,"2022-01-01 21:02:00",533.29
2022-01-01 21:17:00,1.43961318,86,"2022-01-01 21:17:00",533.38
2022-01-01 21:32:00,1.449864199,87,"2022-01-01 21:32:00",533.45
2022-01-01 21:47:00,1.460156326,88,"2022-01-01 21:47:00",533.13
2022-01-01 22:02:00,1.470489599,89,"2022-01-01 22:02:00",532.65
2022-01-01 22:17:00,1.496503042,90,"2022-01-01 22:17:00",531.93
2022-01-01 22:32:00,1.506980622,91,"2022-01-01 22:32:00",531.51
2022-01-01 22:47:00,1.549304466,92,"2022-01-01 22:47:00",531.61
2022-01-01 23:02:00,1.570715023,93,"2022-01-01 23:02:00",531.66
2022-01-01 23:17:00,1.59229173,94,"2022-01-01 23:17:00",531.27
2022-01-01 23:32:00,1.624968967,95,"2022-01-01 23:32:00",531.54
2022-01-01 23:47:00,1.641448334,96,"2022-01-01 23:47:00",532.62
2022-01-02 00:02:00,1.68585318,97,"2022-01-02 00:02:00",533.87
2022-01-02 00:17:00,1.719596858,98,"2022-01-02 00:17:00",535.17
2022-01-02 00:32:00,1.753718796,99,"2022-01-02 00:32:00",536.43
2022-01-02 00:47:00,1.794007093,100,"2022-01-02 00:47:00",537.3
2022-01-02 01:02:00,1.823101314,101,"2022-01-02 01:02:00",537.5
2022-01-02 01:17:00,1.864278014,102,"2022-01-02 01:17:00",537.12
2022-01-02 01:32:00,1.899986373,103,"2022-01-02 01:32:00",536.3
2022-01-02 01:47:00,1.95426769,104,"2022-01-02 01:47:00",535.57
2022-01-02 02:02:00,1.990935784,105,"2022-01-02 02:02:00",535.05
2022-01-02 02:17:00,2.015595304,106,"2022-01-02 02:17:00",534.7
2022-01-02 02:32:00,2.059162584,107,"2022-01-02 02:32:00",534.81
2022-01-02 02:47:00,2.07799553,108,"2022-01-02 02:47:00",534.95
2022-01-02 03:02:00,2.103256907,109,"2022-01-02 03:02:00",535.2
2022-01-02 03:17:00,2.115952292,110,"2022-01-02 03:17:00",535.59
2022-01-02 03:32:00,2.147879724,111,"2022-01-02 03:32:00",535.64
2022-01-02 03:47:00,2.154297639,112,"2022-01-02 03:47:00",535.46
2022-01-02 04:02:00,2.167165931,113,"2022-01-02 04:02:00",534.65
2022-01-02 04:17:00,2.180077532,114,"2022-01-02 04:17:00",533.34
2022-01-02 04:32:00,2.206030801,115,"2022-01-02 04:32:00",532.01
2022-01-02 04:47:00,2.199526216,116,"2022-01-02 04:47:00",530.65
2022-01-02 05:02:00,2.206030801,117,"2022-01-02 05:02:00",529.63
2022-01-02 05:17:00,2.206030801,118,"2022-01-02 05:17:00",528.85
2022-01-02 05:32:00,2.206030801,119,"2022-01-02 05:32:00",528.52
2022-01-02 05:47:00,2.193032478,120,"2022-01-02 05:47:00",528.29
2022-01-02 06:02:00,2.193032478,121,"2022-01-02 06:02:00",528.11
