"","datetime","smooth_st_flow","total_flow","storm_id","q_cms","conc","rescaled_conc","time_step","norm_tot_q","norm_c","norm_ts","filter_para","sf_thresh","run_id"
"1",2023-02-09 22:00:00,2.19514030806906,1.235400706,"storm_1",1.235400706,3.088786576,5.54880722974882,1,0,0.605072986917786,0,"0.99","1.5","FC = 0.99, SFT = 1.5"
"2",2023-02-10 04:00:00,3.92616788308122,4.551074749,"storm_1",4.551074749,2.831477966,5.04038852420834,2,0.417850363350748,0.549632166570495,0.0526315789473684,"0.99","1.5","FC = 0.99, SFT = 1.5"
"3",2023-02-10 10:00:00,5.01771373128138,8.044071993,"storm_1",8.044071993,2.855690976,5.0882312574983,3,0.858047484255905,0.554849205897229,0.105263157894737,"0.99","1.5","FC = 0.99, SFT = 1.5"
"4",2023-02-10 16:00:00,4.85930735825057,9.170475876,"storm_1",9.170475876,2.942838262,5.26042646829783,4,1,0.573626335146343,0.157894736842105,"0.99","1.5","FC = 0.99, SFT = 1.5"
"5",2023-02-11 12:30:00,3.93763412396103,4.195211415,"storm_1",4.195211415,4.412933794,8.16520321634478,5,0.373003487123866,0.89037944450777,0.210526315789474,"0.99","1.5","FC = 0.99, SFT = 1.5"
"6",2023-02-15 14:00:00,3.06655201694357,2.415814553,"storm_1",2.415814553,4.563029319,8.46177849428794,6,0.148758999973027,0.92271967220733,0.263157894736842,"0.99","1.5","FC = 0.99, SFT = 1.5"
"7",2023-02-16 10:30:00,2.46877073326089,3.60832028,"storm_1",3.60832028,2.799193954,4.97659821578962,7,0.299041851924889,0.542676114422136,0.315789473684211,"0.99","1.5","FC = 0.99, SFT = 1.5"
"8",2023-02-17 13:30:00,2.14822991734131,2.571286821,"storm_1",2.571286821,0.280558122,0,8,0.168352042845235,0,0.368421052631579,"0.99","1.5","FC = 0.99, SFT = 1.5"
"9",2023-03-22 15:00:00,2.14146798556234,2.074181954,"storm_1",2.074181954,4.427121942,8.19323772261403,9,0.105705520115445,0.893436483929532,0.421052631578947,"0.99","1.5","FC = 0.99, SFT = 1.5"
"10",2023-03-22 18:00:00,2.2740443344656,3.456882575,"storm_1",3.456882575,4.505046171,8.34720900106608,10,0.279957255779847,0.910226373629259,0.473684210526316,"0.99","1.5","FC = 0.99, SFT = 1.5"
