rainfall start,HydRun start,HIP end,HydRun end,multipeak tag,HydRun detect?
7/27/2014 1:00,7/27/2014 9:00,7/28/2014 1:15,7/28/2014 8:30,MP,manual
7/28/2014 7:00,7/28/2014 8:45,7/29/2014 20:45,7/29/2014 20:45,,manual
7/31/2014 11:00,7/31/2014 13:30,8/1/2014 3:30,8/1/2014 19:30,MP,
8/13/2014 6:00,8/13/2014 10:00,8/14/2014 12:45,8/15/2014 5:45,,
9/2/2014 18:00,9/2/2014 17:45,9/3/2014 15:00,9/3/2014 18:30,,
9/6/2014 11:00,9/6/2014 13:30,9/7/2014 5:30,9/7/2014 19:45,,
9/21/2014 19:00,9/21/2014 18:00,9/22/2014 11:30,9/22/2014 19:00,MP,
10/4/2014 8:00,10/4/2014 10:45,10/5/2014 10:45,10/5/2014 22:00,MP,manual
10/16/2014 4:00,10/16/2014 5:45,10/17/2014 8:15,10/17/2014 20:00,,manual
10/18/2014 8:00,10/18/2014 13:15,10/19/2014 9:00,10/19/2014 17:30,,
10/23/2014 9:00,10/23/2014 11:00,10/24/2014 21:45,10/25/2014 17:45,MP,manual
10/25/2014 16:00,10/25/2014 18:00,10/27/2014 2:00,10/27/2014 16:30,MP,manual
11/6/2014 17:00,11/6/2014 19:00,11/8/2014 15:15,11/9/2014 12:45,,
4/8/2015 17:00,4/9/2015 14:15,4/12/2015 11:45,4/12/2015 15:15,MP,
4/14/2015 1:00,4/13/2015 14:30,4/15/2015 9:15,4/16/2015 15:15,MP,
4/20/2015 8:00,4/20/2015 7:30,4/20/2015 15:15,4/21/2015 3:45,MP,manual
4/21/2015 4:00,4/21/2015 5:30,4/22/2015 3:45,4/22/2015 12:45,,manual
4/22/2015 14:30,4/22/2015 13:15,4/23/2015 15:15,4/24/2015 21:45,,manual
4/27/2015 18:00,4/27/2015 19:00,4/28/2015 0:45,4/28/2015 0:45,MP,manual
5/10/2015 19:00,5/10/2015 18:00,5/11/2015 8:15,5/11/2015 14:30,MP,manual
5/11/2015 15:45,5/11/2015 14:45,5/12/2015 19:15,5/13/2015 19:00,MP,manual
5/16/2015 18:45,5/16/2015 18:30,5/17/2015 2:45,5/17/2015 2:45,MP,manual
5/28/2015 8:00,5/28/2015 12:00,5/29/2015 3:15,5/29/2015 3:15,MP,manual
5/30/2015 17:00,5/30/2015 16:45,6/1/2015 18:45,6/2/2015 16:00,MP,
6/5/2015 19:45,6/5/2015 18:45,6/6/2015 13:30,6/6/2015 18:45,,manual
6/28/2015 1:15,6/27/2015 22:30,6/29/2015 17:45,6/30/2015 13:15,MP,
7/1/2015 5:00,7/1/2015 5:00,7/2/2015 9:45,7/3/2015 19:15,,
7/4/2015 18:00,7/4/2015 17:30,7/5/2015 9:15,7/5/2015 23:15,,
7/24/2015 6:45,7/24/2015 6:30,7/24/2015 13:45,7/24/2015 13:45,MP,manual
7/25/2015 19:45,7/25/2015 19:15,7/25/2015 21:45,7/25/2015 21:45,,manual
7/28/2015 1:15,7/28/2015 1:15,7/28/2015 8:45,7/28/2015 15:00,MP,manual
7/29/2015 17:30,7/28/2015 16:45,7/29/2015 23:15,7/30/2015 6:30,MP,manual
7/30/2015 12:30,7/30/2015 13:15,7/30/2015 20:15,7/30/2015 20:15,MP,manual
