"","event","start","end","duration_hrs"
"1","Event1",2021-12-02 16:45:00,2021-12-03 21:30:00,28.75
"2","Event2",2021-12-03 21:30:00,2021-12-05 11:45:00,38.25
"3","Event3",2021-12-06 08:45:00,2021-12-08 07:00:00,46.25
"4","Event4",2021-12-10 00:45:00,2021-12-11 02:00:00,25.25
"5","Event5",2021-12-11 12:30:00,2021-12-13 17:00:00,52.5
"6","Event6",2021-12-16 06:30:00,2022-01-27 02:15:00,1003.75
"7","Event7",2022-02-08 16:30:00,2022-03-01 11:00:00,498.5
"8","Event8",2022-03-03 01:15:00,2022-03-03 22:00:00,20.75
"9","Event9",2022-03-06 15:30:00,2022-03-09 01:45:00,58.25
"10","Event10",2022-03-12 07:45:00,2022-03-14 00:00:00,40.25
"11","Event11",2022-03-16 17:00:00,2022-03-22 12:30:00,139.5
"12","Event12",2022-03-24 04:30:00,2022-03-27 11:15:00,78.75
"13","Event13",2022-03-29 00:15:00,2022-03-30 01:00:00,24.75
"14","Event14",2022-03-31 15:15:00,2022-04-02 17:15:00,50
"15","Event15",2022-04-05 17:45:00,2022-04-06 17:15:00,23.5
"16","Event16",2022-04-06 17:15:00,2022-04-07 17:15:00,24
"17","Event17",2022-04-07 17:30:00,2022-04-11 17:00:00,95.5
"18","Event18",2022-04-11 17:00:00,2022-04-13 16:45:00,47.75
"19","Event19",2022-04-13 17:00:00,2022-04-15 18:45:00,49.75
"20","Event20",2022-04-15 20:30:00,2022-04-17 16:00:00,43.5
"21","Event21",2022-04-19 13:15:00,2022-04-20 20:45:00,31.5
"22","Event22",2022-04-21 16:15:00,2022-04-23 19:00:00,50.75
"23","Event23",2022-04-25 17:45:00,2022-04-28 15:30:00,69.75
"24","Event24",2022-04-30 15:15:00,2022-05-01 15:15:00,24
"25","Event25",2022-05-02 14:45:00,2022-05-03 15:15:00,24.5
"26","Event26",2022-05-03 17:30:00,2022-05-05 15:30:00,46
"27","Event27",2022-05-07 15:30:00,2022-05-08 15:30:00,24
"28","Event28",2022-05-08 15:30:00,2022-05-09 15:30:00,24
"29","Event29",2022-05-15 13:45:00,2022-05-16 17:00:00,27.25
"30","Event30",2022-05-16 17:45:00,2022-05-18 20:45:00,51
"31","Event31",2022-05-19 15:15:00,2022-05-20 18:00:00,26.75
"32","Event32",2022-05-21 20:30:00,2022-05-22 20:15:00,23.75
"33","Event33",2022-06-02 02:45:00,2022-06-03 03:30:00,24.75
"34","Event34",2022-06-09 11:45:00,2022-06-10 15:15:00,27.5
"35","Event35",2022-06-18 12:30:00,2022-06-19 23:45:00,35.25
"36","Event36",2022-06-27 05:00:00,2022-06-28 15:00:00,34
"37","Event37",2022-07-18 15:45:00,2022-07-20 07:45:00,40
"38","Event38",2022-07-21 19:00:00,2022-07-23 04:00:00,33
"39","Event39",2022-08-08 21:30:00,2022-08-10 01:00:00,27.5
"40","Event40",2022-08-30 19:30:00,2022-08-31 22:00:00,26.5
"41","Event41",2022-09-13 17:30:00,2022-09-14 22:00:00,28.5
"42","Event42",2022-09-19 14:45:00,2022-09-20 17:30:00,26.75
"43","Event43",2022-09-21 01:45:00,2022-09-22 07:15:00,29.5
"44","Event44",2022-09-22 08:00:00,2022-09-24 10:15:00,50.25
"45","Event45",2022-09-28 07:00:00,2022-09-30 19:00:00,60
"46","Event46",2022-10-07 08:30:00,2022-10-08 20:30:00,36
"47","Event47",2022-10-09 16:15:00,2022-10-10 16:30:00,24.25
"48","Event48",2022-10-13 23:30:00,2022-10-16 04:15:00,52.75
"49","Event49",2022-10-17 19:15:00,2022-10-19 19:45:00,48.5
"50","Event50",2022-11-06 16:45:00,2022-11-08 11:00:00,42.25
"51","Event51",2022-11-11 21:45:00,2022-11-14 11:30:00,61.75
"52","Event52",2022-11-21 08:15:00,2022-11-22 17:30:00,33.25
"53","Event53",2022-11-27 17:30:00,2022-11-29 02:45:00,33.25
"54","Event54",2022-11-30 16:15:00,2022-12-02 19:00:00,50.75
"55","Event55",2022-12-03 13:45:00,2022-12-05 04:00:00,38.25
"56","Event56",2022-12-06 16:30:00,2022-12-09 20:00:00,75.5
"57","Event57",2022-12-13 01:15:00,2022-12-14 04:00:00,26.75
"58","Event58",2022-12-20 17:45:00,2022-12-29 18:15:00,216.5
"59","Event59",2022-12-29 23:00:00,2023-01-03 00:45:00,97.75
"60","Event60",2023-01-04 23:45:00,2023-01-06 20:45:00,45
"61","Event61",2023-01-08 22:45:00,2023-01-10 01:15:00,26.5
"62","Event62",2023-01-11 07:45:00,2023-01-12 16:00:00,32.25
"63","Event63",2023-01-13 02:00:00,2023-01-14 13:30:00,35.5
"64","Event64",2023-01-16 02:15:00,2023-01-17 04:00:00,25.75
"65","Event65",2023-02-01 00:00:00,2023-02-02 01:45:00,25.75
"66","Event66",2023-02-04 13:15:00,2023-02-07 05:45:00,64.5
"67","Event67",2023-02-09 20:45:00,2023-02-11 16:00:00,43.25
"68","Event68",2023-02-15 17:00:00,2023-02-17 04:30:00,35.5
"69","Event69",2023-02-17 22:45:00,2023-02-19 11:30:00,36.75
"70","Event70",2023-02-26 03:30:00,2023-02-27 03:30:00,24
"71","Event71",2023-03-17 17:45:00,2023-03-19 06:45:00,37
"72","Event72",2023-03-22 16:15:00,2023-03-25 04:00:00,59.75
"73","Event73",2023-04-01 11:15:00,2023-04-02 16:00:00,28.75
"74","Event74",2023-04-04 16:00:00,2023-04-05 16:30:00,24.5
"75","Event75",2023-04-05 16:30:00,2023-04-08 03:30:00,59
"76","Event76",2023-04-09 16:00:00,2023-04-10 15:45:00,23.75
"77","Event77",2023-04-10 16:00:00,2023-04-27 05:30:00,397.5
"78","Event78",2023-04-30 20:00:00,2023-05-03 22:15:00,74.25
"79","Event79",2023-05-24 15:15:00,2023-05-25 15:30:00,24.25
"80","Event80",2023-06-08 15:30:00,2023-06-09 19:15:00,27.75
"81","Event81",2023-06-17 11:30:00,2023-06-19 03:00:00,39.5
"82","Event82",2023-06-24 13:30:00,2023-06-25 14:30:00,25
"83","Event83",2023-09-18 22:15:00,2023-09-21 20:00:00,69.75
"84","Event84",2023-10-07 14:15:00,2023-10-09 20:15:00,54
"85","Event85",2023-10-30 07:00:00,2023-10-31 19:15:00,36.25
"86","Event86",2023-11-07 02:45:00,2023-11-08 14:15:00,35.5
