"","event","start","end","duration_hrs"
"1","Event1",2021-12-02 13:15:00,2021-12-04 12:30:00,47.25
"2","Event2",2021-12-06 07:30:00,2021-12-08 21:15:00,61.75
"3","Event3",2021-12-11 10:30:00,2021-12-13 04:00:00,41.5
"4","Event4",2021-12-15 15:30:00,2021-12-20 05:15:00,109.75
"5","Event5",2022-01-01 08:45:00,2022-01-05 08:45:00,96
"6","Event6",2022-01-16 12:15:00,2022-01-21 12:00:00,119.75
"7","Event7",2022-01-22 12:15:00,2022-01-27 06:15:00,114
"8","Event8",2022-02-03 04:00:00,2022-02-04 20:30:00,40.5
"9","Event9",2022-02-12 01:00:00,2022-02-14 22:30:00,69.5
"10","Event10",2022-02-17 11:00:00,2022-02-19 03:45:00,40.75
"11","Event11",2022-02-19 22:45:00,2022-02-22 03:45:00,53
"12","Event12",2022-03-06 12:45:00,2022-03-10 13:15:00,96.5
"13","Event13",2022-03-15 19:00:00,2022-03-16 15:30:00,20.5
"14","Event14",2022-03-16 17:15:00,2022-03-17 10:00:00,16.75
"15","Event15",2022-03-17 16:30:00,2022-03-18 09:00:00,16.5
"16","Event16",2022-03-19 18:15:00,2022-03-22 20:15:00,74
"17","Event17",2022-03-23 20:15:00,2022-03-25 10:00:00,37.75
"18","Event18",2022-03-30 10:15:00,2022-04-03 16:15:00,102
"19","Event19",2022-04-07 16:15:00,2022-04-11 23:30:00,103.25
"20","Event20",2022-04-12 08:00:00,2022-04-13 17:15:00,33.25
"21","Event21",2022-04-13 18:30:00,2022-04-16 04:00:00,57.5
"22","Event22",2022-04-16 16:00:00,2022-04-18 00:30:00,32.5
"23","Event23",2022-04-19 06:00:00,2022-04-20 18:15:00,36.25
"24","Event24",2022-04-20 22:30:00,2022-04-21 22:30:00,24
"25","Event25",2022-04-26 06:15:00,2022-04-27 06:00:00,23.75
"26","Event26",2022-04-27 17:30:00,2022-04-29 03:30:00,34
"27","Event27",2022-05-04 03:30:00,2022-05-05 22:45:00,43.25
"28","Event28",2022-05-15 00:00:00,2022-05-16 22:00:00,46
"29","Event29",2022-05-19 16:15:00,2022-05-21 12:15:00,44
"30","Event30",2022-05-22 05:45:00,2022-05-23 23:00:00,41.25
"31","Event31",2022-05-27 11:15:00,2022-05-31 08:00:00,92.75
"32","Event32",2022-06-02 00:45:00,2022-06-03 09:30:00,32.75
"33","Event33",2022-08-16 15:45:00,2022-08-17 22:15:00,30.5
"34","Event34",2022-08-23 11:45:00,2022-08-25 02:45:00,39
"35","Event35",2022-09-13 19:00:00,2022-09-16 11:45:00,64.75
"36","Event36",2022-09-18 21:15:00,2022-09-22 06:15:00,81
"37","Event37",2022-09-22 06:30:00,2022-09-25 08:15:00,73.75
"38","Event38",2022-09-28 11:45:00,2022-09-29 19:30:00,31.75
"39","Event39",2022-10-13 22:45:00,2022-10-16 22:45:00,72
"40","Event40",2022-11-06 14:45:00,2022-11-09 02:15:00,59.5
"41","Event41",2022-11-11 22:45:00,2022-11-14 04:15:00,53.5
"42","Event42",2022-11-16 10:45:00,2022-11-18 11:15:00,48.5
"43","Event43",2022-11-27 22:45:00,2022-11-30 14:00:00,63.25
"44","Event44",2022-11-30 19:45:00,2022-12-02 18:00:00,46.25
"45","Event45",2022-12-03 13:45:00,2022-12-04 20:00:00,30.25
"46","Event46",2022-12-06 19:45:00,2022-12-28 00:00:00,508.25
"47","Event47",2022-12-29 17:00:00,2023-01-02 04:00:00,83
"48","Event48",2023-01-07 04:30:00,2023-01-08 14:15:00,33.75
"49","Event49",2023-01-11 02:30:00,2023-01-12 09:15:00,30.75
"50","Event50",2023-01-13 00:15:00,2023-01-14 12:00:00,35.75
"51","Event51",2023-01-16 00:30:00,2023-01-17 10:30:00,34
"52","Event52",2023-02-03 21:30:00,2023-02-05 04:30:00,31
"53","Event53",2023-02-09 15:45:00,2023-02-11 15:15:00,47.5
"54","Event54",2023-02-15 17:15:00,2023-02-16 17:30:00,24.25
"55","Event55",2023-02-19 16:00:00,2023-02-21 11:15:00,43.25
"56","Event56",2023-02-23 15:45:00,2023-02-24 17:45:00,26
"57","Event57",2023-03-06 11:45:00,2023-03-07 12:30:00,24.75
"58","Event58",2023-03-10 11:00:00,2023-03-11 11:30:00,24.5
"59","Event59",2023-03-14 03:45:00,2023-03-16 12:15:00,56.5
"60","Event60",2023-03-16 12:30:00,2023-03-19 12:15:00,71.75
"61","Event61",2023-03-31 12:45:00,2023-04-03 13:15:00,72.5
"62","Event62",2023-04-05 15:45:00,2023-04-07 15:15:00,47.5
"63","Event63",2023-04-10 19:30:00,2023-05-12 21:15:00,769.75
"64","Event64",2023-05-21 07:00:00,2023-05-22 13:30:00,30.5
"65","Event65",2023-06-13 04:15:00,2023-06-14 23:45:00,43.5
"66","Event66",2023-06-17 05:15:00,2023-06-19 15:15:00,58
"67","Event67",2023-06-24 18:15:00,2023-06-27 04:00:00,57.75
"68","Event68",2023-07-02 00:00:00,2023-07-03 04:00:00,28
"69","Event69",2023-07-05 05:30:00,2023-07-06 13:30:00,32
"70","Event70",2023-07-10 04:30:00,2023-07-13 16:45:00,84.25
"71","Event71",2023-07-21 09:45:00,2023-07-22 13:30:00,27.75
"72","Event72",2023-07-26 04:30:00,2023-07-27 11:45:00,31.25
"73","Event73",2023-07-27 12:15:00,2023-07-29 21:45:00,57.5
"74","Event74",2023-08-04 11:30:00,2023-08-05 11:00:00,23.5
"75","Event75",2023-08-08 04:15:00,2023-08-10 16:00:00,59.75
"76","Event76",2023-08-10 19:30:00,2023-08-12 23:00:00,51.5
"77","Event77",2023-08-16 15:15:00,2023-08-18 03:30:00,36.25
"78","Event78",2023-08-18 22:45:00,2023-08-21 15:45:00,65
"79","Event79",2023-08-27 00:45:00,2023-08-28 13:00:00,36.25
"80","Event80",2023-08-30 16:45:00,2023-09-01 11:00:00,42.25
"81","Event81",2023-09-07 15:30:00,2023-09-09 03:30:00,36
"82","Event82",2023-09-10 06:45:00,2023-09-12 19:00:00,60.25
"83","Event83",2023-09-13 11:30:00,2023-09-15 03:45:00,40.25
"84","Event84",2023-10-07 07:45:00,2023-10-11 04:00:00,92.25
"85","Event85",2023-10-21 06:45:00,2023-10-22 23:30:00,40.75
"86","Event86",2023-10-23 06:30:00,2023-10-25 03:30:00,45
"87","Event87",2023-10-30 06:00:00,2023-11-01 04:00:00,46
"88","Event88",2023-11-07 08:45:00,2023-11-08 21:00:00,36.25
"89","Event89",2023-11-09 17:45:00,2023-11-11 14:30:00,44.75
"90","Event90",2023-11-17 20:00:00,2023-11-19 04:00:00,32
