agency_cd,site_no,datetime,mean_discharge_cfs
USGS,4288230,2023-12-31,17.9
USGS,4288230,2024-01-01,Ice
USGS,4288230,2024-01-02,Ice
USGS,4288230,2024-01-03,Ice
USGS,4288230,2024-01-04,Ice
USGS,4288230,2024-01-05,Ice
USGS,4288230,2024-01-06,Ice
USGS,4288230,2024-01-07,Ice
USGS,4288230,2024-01-08,Ice
USGS,4288230,2024-01-09,6.28
USGS,4288230,2024-01-10,34.9
USGS,4288230,2024-01-11,10.9
USGS,4288230,2024-01-12,7.86
USGS,4288230,2024-01-13,9.28
USGS,4288230,2024-01-14,Ice
USGS,4288230,2024-01-15,Ice
USGS,4288230,2024-01-16,Ice
USGS,4288230,2024-01-17,Ice
USGS,4288230,2024-01-18,Ice
USGS,4288230,2024-01-19,Ice
USGS,4288230,2024-01-20,Ice
USGS,4288230,2024-01-21,Ice
USGS,4288230,2024-01-22,5.32
USGS,4288230,2024-01-23,4.51
USGS,4288230,2024-01-24,4.36
USGS,4288230,2024-01-25,Ice
USGS,4288230,2024-01-26,Ice
USGS,4288230,2024-01-27,Ice
USGS,4288230,2024-01-28,5.84
USGS,4288230,2024-01-29,5.3
USGS,4288230,2024-01-30,4.86
USGS,4288230,2024-01-31,4.61
USGS,4288230,2024-02-01,4.51
USGS,4288230,2024-02-02,4.33
USGS,4288230,2024-02-03,Ice
USGS,4288230,2024-02-04,Ice
USGS,4288230,2024-02-05,Ice
USGS,4288230,2024-02-06,Ice
USGS,4288230,2024-02-07,Ice
USGS,4288230,2024-02-08,3.63
USGS,4288230,2024-02-09,3.76
USGS,4288230,2024-02-10,19.1
USGS,4288230,2024-02-11,13.9
USGS,4288230,2024-02-12,7.57
USGS,4288230,2024-02-13,6.07
USGS,4288230,2024-02-14,Ice
USGS,4288230,2024-02-15,Ice
USGS,4288230,2024-02-16,6.6
USGS,4288230,2024-02-17,4.98
USGS,4288230,2024-02-18,4.24
USGS,4288230,2024-02-19,3.84
USGS,4288230,2024-02-20,3.59
USGS,4288230,2024-02-21,3.58
USGS,4288230,2024-02-22,3.52
USGS,4288230,2024-02-23,3.91
USGS,4288230,2024-02-24,Ice
USGS,4288230,2024-02-25,Ice
USGS,4288230,2024-02-26,3.28
USGS,4288230,2024-02-27,3.65
USGS,4288230,2024-02-28,25.3
USGS,4288230,2024-02-29,Ice
USGS,4288230,2024-03-01,Ice
USGS,4288230,2024-03-02,Ice
USGS,4288230,2024-03-03,Ice
USGS,4288230,2024-03-04,19.1
USGS,4288230,2024-03-05,29.2
USGS,4288230,2024-03-06,95.3
USGS,4288230,2024-03-07,114
USGS,4288230,2024-03-08,34.5
USGS,4288230,2024-03-09,20.2
USGS,4288230,2024-03-10,Ice
USGS,4288230,2024-03-11,Ice
USGS,4288230,2024-03-12,Ice
USGS,4288230,2024-03-13,Ice
USGS,4288230,2024-03-14,11.6
USGS,4288230,2024-03-15,28.3
USGS,4288230,2024-03-16,18
USGS,4288230,2024-03-17,21.9
USGS,4288230,2024-03-18,15.5
USGS,4288230,2024-03-19,12.6
USGS,4288230,2024-03-20,Ice
USGS,4288230,2024-03-21,Ice
USGS,4288230,2024-03-22,Ice
USGS,4288230,2024-03-23,Ice
USGS,4288230,2024-03-24,Ice
USGS,4288230,2024-03-25,8.58
USGS,4288230,2024-03-26,10.6
USGS,4288230,2024-03-27,17.5
USGS,4288230,2024-03-28,25.3
USGS,4288230,2024-03-29,16.4
USGS,4288230,2024-03-30,12
USGS,4288230,2024-03-31,10.4
USGS,4288230,2024-04-01,11
USGS,4288230,2024-04-02,12.6
USGS,4288230,2024-04-03,12.4
USGS,4288230,2024-04-04,Ice
USGS,4288230,2024-04-05,Ice
USGS,4288230,2024-04-06,8.29
USGS,4288230,2024-04-07,8.93
USGS,4288230,2024-04-08,13.9
USGS,4288230,2024-04-09,27.2
USGS,4288230,2024-04-10,41.3
USGS,4288230,2024-04-11,62.9
USGS,4288230,2024-04-12,282
USGS,4288230,2024-04-13,118
USGS,4288230,2024-04-14,50.6
USGS,4288230,2024-04-15,43.7
USGS,4288230,2024-04-16,44.2
USGS,4288230,2024-04-17,37.6
