"","Timestamp","Sp Cond.SpecCond@Hungerford Brook","timestamp"
"1",2023-01-01 00:02:00,290.97,2023-01-01 00:02:00
"2",2023-01-01 00:17:00,291.73,2023-01-01 00:17:00
"3",2023-01-01 00:32:00,292.51,2023-01-01 00:32:00
"4",2023-01-01 00:47:00,293.06,2023-01-01 00:47:00
"5",2023-01-01 01:02:00,293.55,2023-01-01 01:02:00
"6",2023-01-01 01:17:00,293.79,2023-01-01 01:17:00
"7",2023-01-01 01:32:00,293.83,2023-01-01 01:32:00
"8",2023-01-01 01:47:00,293.89,2023-01-01 01:47:00
"9",2023-01-01 02:02:00,293.63,2023-01-01 02:02:00
"10",2023-01-01 02:17:00,294.05,2023-01-01 02:17:00
"11",2023-01-01 02:32:00,294.44,2023-01-01 02:32:00
"12",2023-01-01 02:47:00,294.87,2023-01-01 02:47:00
"13",2023-01-01 03:02:00,294.98,2023-01-01 03:02:00
"14",2023-01-01 03:17:00,295.13,2023-01-01 03:17:00
"15",2023-01-01 03:32:00,294.54,2023-01-01 03:32:00
"16",2023-01-01 03:47:00,293.93,2023-01-01 03:47:00
"17",2023-01-01 04:02:00,293.16,2023-01-01 04:02:00
"18",2023-01-01 04:17:00,292.95,2023-01-01 04:17:00
"19",2023-01-01 04:32:00,292.73,2023-01-01 04:32:00
"20",2023-01-01 04:47:00,292.68,2023-01-01 04:47:00
"21",2023-01-01 05:02:00,292.33,2023-01-01 05:02:00
"22",2023-01-01 05:17:00,291.75,2023-01-01 05:17:00
"23",2023-01-01 05:32:00,291.34,2023-01-01 05:32:00
"24",2023-01-01 05:47:00,291.05,2023-01-01 05:47:00
"25",2023-01-01 06:02:00,290.7,2023-01-01 06:02:00
"26",2023-01-01 06:17:00,290.98,2023-01-01 06:17:00
"27",2023-01-01 06:32:00,291.66,2023-01-01 06:32:00
"28",2023-01-01 06:47:00,292.37,2023-01-01 06:47:00
"29",2023-01-01 07:02:00,292.83,2023-01-01 07:02:00
"30",2023-01-01 07:17:00,292.68,2023-01-01 07:17:00
"31",2023-01-01 07:32:00,291.72,2023-01-01 07:32:00
"32",2023-01-01 07:47:00,290.4,2023-01-01 07:47:00
"33",2023-01-01 08:02:00,288.54,2023-01-01 08:02:00
"34",2023-01-01 08:17:00,286.68,2023-01-01 08:17:00
"35",2023-01-01 08:32:00,284.96,2023-01-01 08:32:00
"36",2023-01-01 08:47:00,283.33,2023-01-01 08:47:00
