"","Timestamp","Sp Cond.SpecCond@Hungerford Brook","timestamp"
"1",2022-01-01 00:02:00,539.01,2022-01-01 00:02:00
"2",2022-01-01 00:17:00,538.61,2022-01-01 00:17:00
"3",2022-01-01 00:32:00,538.46,2022-01-01 00:32:00
"4",2022-01-01 00:47:00,537.76,2022-01-01 00:47:00
"5",2022-01-01 01:02:00,537.48,2022-01-01 01:02:00
"6",2022-01-01 01:17:00,537.1,2022-01-01 01:17:00
"7",2022-01-01 01:32:00,536.98,2022-01-01 01:32:00
"8",2022-01-01 01:47:00,536.78,2022-01-01 01:47:00
"9",2022-01-01 02:02:00,536.22,2022-01-01 02:02:00
"10",2022-01-01 02:17:00,536.23,2022-01-01 02:17:00
"11",2022-01-01 02:32:00,535.82,2022-01-01 02:32:00
"12",2022-01-01 02:47:00,535.89,2022-01-01 02:47:00
"13",2022-01-01 03:02:00,536.77,2022-01-01 03:02:00
"14",2022-01-01 03:17:00,535.51,2022-01-01 03:17:00
"15",2022-01-01 03:32:00,535.04,2022-01-01 03:32:00
"16",2022-01-01 03:47:00,534.87,2022-01-01 03:47:00
"17",2022-01-01 04:02:00,534.68,2022-01-01 04:02:00
"18",2022-01-01 04:17:00,534.54,2022-01-01 04:17:00
"19",2022-01-01 04:32:00,534.63,2022-01-01 04:32:00
"20",2022-01-01 04:47:00,534.58,2022-01-01 04:47:00
"21",2022-01-01 05:02:00,534.4,2022-01-01 05:02:00
"22",2022-01-01 05:17:00,534.3,2022-01-01 05:17:00
"23",2022-01-01 05:32:00,534.38,2022-01-01 05:32:00
"24",2022-01-01 05:47:00,534.43,2022-01-01 05:47:00
"25",2022-01-01 06:02:00,534.56,2022-01-01 06:02:00
"26",2022-01-01 06:17:00,534.28,2022-01-01 06:17:00
"27",2022-01-01 06:32:00,533.99,2022-01-01 06:32:00
"28",2022-01-01 06:47:00,533.98,2022-01-01 06:47:00
"29",2022-01-01 07:02:00,533.87,2022-01-01 07:02:00
"30",2022-01-01 07:17:00,533.67,2022-01-01 07:17:00
"31",2022-01-01 07:32:00,534.07,2022-01-01 07:32:00
"32",2022-01-01 07:47:00,533.63,2022-01-01 07:47:00
"33",2022-01-01 08:02:00,534.03,2022-01-01 08:02:00
"34",2022-01-01 08:17:00,534.54,2022-01-01 08:17:00
"35",2022-01-01 08:32:00,534.25,2022-01-01 08:32:00
"36",2022-01-01 08:47:00,533.93,2022-01-01 08:47:00
"37",2022-01-01 09:02:00,534.07,2022-01-01 09:02:00
"38",2022-01-01 09:17:00,533.86,2022-01-01 09:17:00
"39",2022-01-01 09:32:00,533.61,2022-01-01 09:32:00
"40",2022-01-01 09:47:00,533.45,2022-01-01 09:47:00
"41",2022-01-01 10:02:00,533.25,2022-01-01 10:02:00
"42",2022-01-01 10:17:00,533.62,2022-01-01 10:17:00
"43",2022-01-01 10:32:00,532.56,2022-01-01 10:32:00
"44",2022-01-01 10:47:00,532.64,2022-01-01 10:47:00
"45",2022-01-01 11:02:00,532.82,2022-01-01 11:02:00
"46",2022-01-01 11:17:00,532.6,2022-01-01 11:17:00
"47",2022-01-01 11:32:00,532.51,2022-01-01 11:32:00
"48",2022-01-01 11:47:00,532.69,2022-01-01 11:47:00
"49",2022-01-01 12:02:00,532.72,2022-01-01 12:02:00
"50",2022-01-01 12:17:00,533.18,2022-01-01 12:17:00
"51",2022-01-01 12:32:00,533.42,2022-01-01 12:32:00
"52",2022-01-01 12:47:00,533.64,2022-01-01 12:47:00
"53",2022-01-01 13:02:00,533.68,2022-01-01 13:02:00
"54",2022-01-01 13:17:00,533.88,2022-01-01 13:17:00
"55",2022-01-01 13:32:00,534.06,2022-01-01 13:32:00
"56",2022-01-01 13:47:00,534.31,2022-01-01 13:47:00
"57",2022-01-01 14:02:00,534.35,2022-01-01 14:02:00
"58",2022-01-01 14:17:00,534.5,2022-01-01 14:17:00
"59",2022-01-01 14:32:00,534.75,2022-01-01 14:32:00
"60",2022-01-01 14:47:00,534.52,2022-01-01 14:47:00
"61",2022-01-01 15:02:00,534.48,2022-01-01 15:02:00
"62",2022-01-01 15:17:00,534.55,2022-01-01 15:17:00
"63",2022-01-01 15:32:00,534.46,2022-01-01 15:32:00
"64",2022-01-01 15:47:00,534.31,2022-01-01 15:47:00
"65",2022-01-01 16:02:00,534.33,2022-01-01 16:02:00
"66",2022-01-01 16:17:00,534.22,2022-01-01 16:17:00
"67",2022-01-01 16:32:00,534.39,2022-01-01 16:32:00
"68",2022-01-01 16:47:00,534.59,2022-01-01 16:47:00
"69",2022-01-01 17:02:00,535.29,2022-01-01 17:02:00
"70",2022-01-01 17:17:00,535.87,2022-01-01 17:17:00
"71",2022-01-01 17:32:00,536.35,2022-01-01 17:32:00
"72",2022-01-01 17:47:00,536.68,2022-01-01 17:47:00
"73",2022-01-01 18:02:00,537.01,2022-01-01 18:02:00
"74",2022-01-01 18:17:00,537.22,2022-01-01 18:17:00
"75",2022-01-01 18:32:00,536.88,2022-01-01 18:32:00
"76",2022-01-01 18:47:00,536.76,2022-01-01 18:47:00
"77",2022-01-01 19:02:00,536.39,2022-01-01 19:02:00
"78",2022-01-01 19:17:00,535.86,2022-01-01 19:17:00
"79",2022-01-01 19:32:00,535.05,2022-01-01 19:32:00
"80",2022-01-01 19:47:00,534.21,2022-01-01 19:47:00
"81",2022-01-01 20:02:00,533.51,2022-01-01 20:02:00
"82",2022-01-01 20:17:00,533.03,2022-01-01 20:17:00
"83",2022-01-01 20:32:00,532.85,2022-01-01 20:32:00
"84",2022-01-01 20:47:00,532.78,2022-01-01 20:47:00
