"","Timestamp","Sp Cond.SpecCond@Hungerford Brook","timestamp"
"1",2024-01-01 00:02:00,366.14,2024-01-01 00:02:00
"2",2024-01-01 00:17:00,366.43,2024-01-01 00:17:00
"3",2024-01-01 00:32:00,366.75,2024-01-01 00:32:00
"4",2024-01-01 00:47:00,367.07,2024-01-01 00:47:00
"5",2024-01-01 01:02:00,367.36,2024-01-01 01:02:00
"6",2024-01-01 01:17:00,367.63,2024-01-01 01:17:00
"7",2024-01-01 01:32:00,367.92,2024-01-01 01:32:00
"8",2024-01-01 01:47:00,368.15,2024-01-01 01:47:00
"9",2024-01-01 02:02:00,368.46,2024-01-01 02:02:00
"10",2024-01-01 02:17:00,368.71,2024-01-01 02:17:00
"11",2024-01-01 02:32:00,369.01,2024-01-01 02:32:00
"12",2024-01-01 02:47:00,369.31,2024-01-01 02:47:00
"13",2024-01-01 03:02:00,369.59,2024-01-01 03:02:00
"14",2024-01-01 03:17:00,369.84,2024-01-01 03:17:00
"15",2024-01-01 03:32:00,370.13,2024-01-01 03:32:00
"16",2024-01-01 03:47:00,370.37,2024-01-01 03:47:00
"17",2024-01-01 04:02:00,370.58,2024-01-01 04:02:00
"18",2024-01-01 04:17:00,370.83,2024-01-01 04:17:00
"19",2024-01-01 04:32:00,371.07,2024-01-01 04:32:00
"20",2024-01-01 04:47:00,371.35,2024-01-01 04:47:00
"21",2024-01-01 05:02:00,371.57,2024-01-01 05:02:00
"22",2024-01-01 05:17:00,371.81,2024-01-01 05:17:00
"23",2024-01-01 05:32:00,372.1,2024-01-01 05:32:00
"24",2024-01-01 05:47:00,372.32,2024-01-01 05:47:00
"25",2024-01-01 06:02:00,372.48,2024-01-01 06:02:00
"26",2024-01-01 06:17:00,372.7,2024-01-01 06:17:00
"27",2024-01-01 06:32:00,372.86,2024-01-01 06:32:00
"28",2024-01-01 06:47:00,373.14,2024-01-01 06:47:00
"29",2024-01-01 07:02:00,373.34,2024-01-01 07:02:00
"30",2024-01-01 07:17:00,373.59,2024-01-01 07:17:00
