"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.088","2022-02-03 08:00:00","2022-02-09 09:30:00",199198.758582085,172,1158.1323173377,"0.996","0.088","storm_1"
"2","FC = 0.996, SFT = 0.088","2022-02-11 04:00:00","2022-02-11 04:30:00",1124.78827961141,3.5,321.368079888974,"0.996","0.088","storm_2"
"3","FC = 0.996, SFT = 0.088","2022-02-11 06:15:00","2022-02-17 05:45:00",916373.759607261,155,5912.08877165975,"0.996","0.088","storm_3"
"4","FC = 0.996, SFT = 0.088","2022-02-17 14:15:00","2022-03-04 23:30:00",1540307.9860993,141.5,10885.5688063555,"0.996","0.088","storm_4"
"5","FC = 0.996, SFT = 0.088","2022-03-06 15:15:00","2022-03-14 12:45:00",540743.591856586,145,3729.26615073507,"0.996","0.088","storm_5"
"6","FC = 0.996, SFT = 0.088","2022-03-15 12:00:00","2022-03-15 12:30:00",3606.06969657428,11,327.82451787039,"0.996","0.088","storm_6"
"7","FC = 0.996, SFT = 0.088","2022-03-15 13:00:00","2022-03-15 13:15:00",1665.1900195241,5,333.038003904821,"0.996","0.088","storm_7"
"8","FC = 0.996, SFT = 0.088","2022-03-19 13:00:00","2022-03-19 13:30:00",3861.65591459337,9,429.072879399263,"0.996","0.088","storm_8"
"9","FC = 0.996, SFT = 0.088","2022-03-19 14:30:00","2022-03-19 14:30:00",988.97254207046,3,329.657514023487,"0.996","0.088","storm_9"
"10","FC = 0.996, SFT = 0.088","2022-03-19 15:30:00","2022-03-19 16:30:00",7626.9037715001,18,423.71687619445,"0.996","0.088","storm_10"
"11","FC = 0.996, SFT = 0.088","2022-04-19 08:30:00","2022-04-20",85239.147788645,15.75,5412.00938340603,"0.996","0.088","storm_11"
"12","FC = 0.98, SFT = 0.088","2022-02-03 10:15:00","2022-02-06 02:45:00",81132.1151824408,72.25,1122.935850276,"0.98","0.088","storm_1"
"13","FC = 0.98, SFT = 0.088","2022-02-06 07:45:00","2022-02-06 11:15:00",1438.41202362627,3.75,383.576539633672,"0.98","0.088","storm_2"
"14","FC = 0.98, SFT = 0.088","2022-02-06 12:15:00","2022-02-07 06:30:00",8548.901021006,22.25,384.220270607011,"0.98","0.088","storm_3"
"15","FC = 0.98, SFT = 0.088","2022-02-11 17:30:00","2022-02-17 05:30:00",471550.279965103,143.5,3286.06466874636,"0.98","0.088","storm_4"
"16","FC = 0.98, SFT = 0.088","2022-02-17 14:15:00","2022-02-19 20:00:00",536181.535626248,54,9929.28769678237,"0.98","0.088","storm_5"
"17","FC = 0.98, SFT = 0.088","2022-02-19 23:30:00","2022-03-04 23:30:00",369155.218501532,84.25,4381.66431455825,"0.98","0.088","storm_6"
"18","FC = 0.98, SFT = 0.088","2022-03-06 15:15:00","2022-03-11 04:45:00",220782.002472335,53.75,4107.57213902018,"0.98","0.088","storm_7"
"19","FC = 0.98, SFT = 0.088","2022-03-11 14:45:00","2022-03-11 23:00:00",4008.901937597,8.5,471.635522070235,"0.98","0.088","storm_8"
"20","FC = 0.98, SFT = 0.088","2022-03-12 00:15:00","2022-03-12 17:15:00",12602.2117317588,21,600.105320559944,"0.98","0.088","storm_9"
"21","FC = 0.98, SFT = 0.088","2022-03-12 19:00:00","2022-03-14 12:45:00",63560.7874350101,49.5,1284.05631181839,"0.98","0.088","storm_10"
"22","FC = 0.98, SFT = 0.088","2022-03-16 13:00:00","2022-03-16 13:30:00",2728.08858557436,7,389.726940796337,"0.98","0.088","storm_11"
"23","FC = 0.98, SFT = 0.088","2022-03-17 11:15:00","2022-03-17 11:15:00",1020.49893037053,3,340.166310123509,"0.98","0.088","storm_12"
"24","FC = 0.98, SFT = 0.088","2022-03-17 13:15:00","2022-03-17 13:45:00",4018.32991781886,9,446.481101979873,"0.98","0.088","storm_13"
"25","FC = 0.98, SFT = 0.088","2022-03-19 13:00:00","2022-03-19 13:30:00",3063.14627485991,7,437.592324979987,"0.98","0.088","storm_14"
"26","FC = 0.98, SFT = 0.088","2022-03-19 14:30:00","2022-03-19 14:30:00",664.058895823144,2,332.029447911572,"0.98","0.088","storm_15"
"27","FC = 0.98, SFT = 0.088","2022-03-19 15:30:00","2022-03-19 16:30:00",6842.15693225655,16,427.634808266034,"0.98","0.088","storm_16"
"28","FC = 0.98, SFT = 0.088","2022-03-20 06:30:00","2022-03-20 07:15:00",6099.2138022687,13,469.170292482208,"0.98","0.088","storm_17"
"29","FC = 0.98, SFT = 0.088","2022-03-20 07:30:00","2022-03-20 07:45:00",2128.74059021987,5,425.748118043975,"0.98","0.088","storm_18"
"30","FC = 0.98, SFT = 0.088","2022-03-20 21:15:00","2022-03-20 22:00:00",4317.2939683592,12,359.774497363267,"0.98","0.088","storm_19"
"31","FC = 0.98, SFT = 0.088","2022-03-20 23:00:00","2022-03-20 23:15:00",3157.69487137696,7,451.099267339566,"0.98","0.088","storm_20"
"32","FC = 0.98, SFT = 0.088","2022-03-21","2022-03-21 00:15:00",1956.10436438649,5,391.220872877298,"0.98","0.088","storm_21"
"33","FC = 0.98, SFT = 0.088","2022-03-24 03:45:00","2022-03-24 04:15:00",1557.71840399428,4.5,346.159645332063,"0.98","0.088","storm_22"
"34","FC = 0.98, SFT = 0.088","2022-03-24 06:45:00","2022-03-30 09:00:00",387383.282596529,125.25,3092.88049977269,"0.98","0.088","storm_23"
"35","FC = 0.98, SFT = 0.088","2022-03-30 11:15:00","2022-04-05 19:30:00",323522.545791901,185,1748.77051779406,"0.98","0.088","storm_24"
"36","FC = 0.98, SFT = 0.088","2022-04-05 20:15:00","2022-04-06 08:00:00",6165.59981727405,15.75,391.466655065019,"0.98","0.088","storm_25"
"37","FC = 0.98, SFT = 0.088","2022-04-07 18:30:00","2022-04-13 13:00:00",243607.258343705,70.25,3467.71897998157,"0.98","0.088","storm_26"
"38","FC = 0.98, SFT = 0.088","2022-04-13 20:15:00","2022-04-18 14:15:00",256076.548150953,129.25,1981.24988898223,"0.98","0.088","storm_27"
"39","FC = 0.98, SFT = 0.088","2022-04-18 15:00:00","2022-04-18 16:45:00",673.056521335367,2,336.528260667684,"0.98","0.088","storm_28"
"40","FC = 0.98, SFT = 0.088","2022-04-19 08:30:00","2022-04-20",81181.5871824859,15.75,5154.38648777688,"0.98","0.088","storm_29"
"41","FC = 0.996, SFT = 0.1","2022-02-03 08:45:00","2022-02-06 05:00:00",137059.361637803,79.75,1718.61268511352,"0.996","0.1","storm_1"
"42","FC = 0.996, SFT = 0.1","2022-02-06 06:30:00","2022-02-09 05:15:00",60022.9591116421,86,697.941385019094,"0.996","0.1","storm_2"
"43","FC = 0.996, SFT = 0.1","2022-02-11 11:00:00","2022-02-17 05:15:00",914540.870120515,149.75,6107.11766357606,"0.996","0.1","storm_3"
"44","FC = 0.996, SFT = 0.1","2022-02-17 14:30:00","2022-03-04 23:30:00",1540220.11544918,141.25,10904.2132067199,"0.996","0.1","storm_4"
"45","FC = 0.996, SFT = 0.1","2022-03-06 15:30:00","2022-03-14 12:30:00",540568.871250632,144.5,3740.96104671717,"0.996","0.1","storm_5"
"46","FC = 0.996, SFT = 0.1","2022-03-15 13:45:00","2022-03-15 14:00:00",1886.55519541012,5,377.311039082023,"0.996","0.1","storm_6"
"47","FC = 0.996, SFT = 0.1","2022-03-19 13:00:00","2022-03-19 13:30:00",3204.71955191059,7,457.81707884437,"0.996","0.1","storm_7"
"48","FC = 0.996, SFT = 0.1","2022-03-19 15:45:00","2022-03-19 16:30:00",5925.25035493578,13,455.788488841214,"0.996","0.1","storm_8"
"49","FC = 0.996, SFT = 0.1","2022-04-18 15:00:00","2022-04-18 16:45:00",741.850296435856,2,370.925148217928,"0.996","0.1","storm_9"
"50","FC = 0.996, SFT = 0.1","2022-04-19 08:45:00","2022-04-20",85158.9000627734,15.5,5494.12258469506,"0.996","0.1","storm_10"
"51","FC = 0.98, SFT = 0.1","2022-02-03 12:15:00","2022-02-06 01:30:00",80025.8904413519,69,1159.79551364278,"0.98","0.1","storm_1"
"52","FC = 0.98, SFT = 0.1","2022-02-06 08:00:00","2022-02-06 10:45:00",1179.14310660483,3,393.047702201609,"0.98","0.1","storm_2"
"53","FC = 0.98, SFT = 0.1","2022-02-06 12:30:00","2022-02-07 01:30:00",5577.76923681194,13.25,420.963715985807,"0.98","0.1","storm_3"
"54","FC = 0.98, SFT = 0.1","2022-02-11 18:45:00","2022-02-17 05:15:00",471039.14223834,142,3317.17705801648,"0.98","0.1","storm_4"
"55","FC = 0.98, SFT = 0.1","2022-02-17 14:30:00","2022-02-19 19:45:00",536006.170239551,53.5,10018.8069203654,"0.98","0.1","storm_5"
