"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"1",0,0.614792271185857,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"2",0.01,0.626542430919864,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"3",0.02,0.597258504480503,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"4",0.03,0.575437615226224,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"5",0.04,0.561009325224821,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"6",0.05,0.559730237804419,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"7",0.06,0.504960482480934,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"8",0.07,0.478606658994999,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"9",0.08,0.452526383993957,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"10",0.09,0.455191906621235,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"11",0.1,0.458676813727843,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"12",0.11,0.455765339186136,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"13",0.12,0.434026446769833,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
"14",0.13,0.397718878217716,NA,NA,-0.609043411241499,"FC = 0.98, SFT = 0.088","storm_1","2022-02-03 08:15:00","2022-02-06 03:00:00",125338.35031506,74.5,1682.39396396054,"0.98","0.088"
