"","run_id","storm_counts"
"1","FC = 0.996, SFT = 0.088",11
"2","FC = 0.98, SFT = 0.088",29
"3","FC = 0.996, SFT = 0.1",10
"4","FC = 0.98, SFT = 0.1",29
"5","FC = 0.996, SFT = 0.14",9
"6","FC = 0.98, SFT = 0.14",29
