"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.05","2021-12-01 09:30:00","2021-12-01 18:30:00",1862.23985788806,19651173.8941461,9.25,0.111511368735812,1.17671699964947,201.323227879791,0.996,"0.05","storm_1"
"2","FC = 0.996, SFT = 0.05","2021-12-02 15:45:00","2021-12-05 10:00:00",206904.708558247,1983476612.08712,74,12.3895035064818,118.771054615995,2796.00957511144,0.996,"0.05","storm_2"
"3","FC = 0.996, SFT = 0.05","2021-12-05 15:15:00","2021-12-05 23:15:00",2528.69774833146,24888162.9768557,8.25,0.151419026846195,1.49030916029076,306.508817979571,0.996,"0.05","storm_3"
"4","FC = 0.996, SFT = 0.05","2021-12-10 15:15:00","2021-12-11 04:15:00",7140.7802082649,59282459.3024369,17,0.427591629237419,3.54984786242137,420.045894603818,0.996,"0.05","storm_4"
"5","FC = 0.996, SFT = 0.05","2021-12-11 13:45:00","2021-12-15 12:00:00",273202.263968355,2186292698.98097,105.5,16.3594170040931,130.915730477903,2589.59491913132,0.996,"0.05","storm_5"
"6","FC = 0.996, SFT = 0.05","2021-12-15 17:30:00","2021-12-24 16:00:00",129099.123886949,979566341.265609,150.25,7.73048646029637,58.6566671416532,859.228777949746,0.996,"0.05","storm_6"
"7","FC = 0.996, SFT = 0.05","2021-12-24 18:45:00","2021-12-25 01:30:00",1576.40097348481,12059750.4964076,7,0.0943952678733419,0.722140748287877,225.200139069258,0.996,"0.05","storm_7"
"8","FC = 0.996, SFT = 0.05","2021-12-25 18:45:00","2021-12-26 09:45:00",4434.40244820819,34671155.8842813,19,0.265533080731029,2.07611711881924,233.389602537273,0.996,"0.05","storm_8"
"9","FC = 0.996, SFT = 0.05","2021-12-28 23:30:00","2021-12-29 03:45:00",1537.59909574863,9577270.47676492,4.5,0.0920718021406365,0.573489250105684,341.68868794414,0.996,"0.05","storm_9"
"10","FC = 0.996, SFT = 0.05","2022-01-11 18:30:00","2022-01-11 22:30:00",847.342179099441,5870465.96985457,4.25,0.0507390526406851,0.351524908374525,199.374630376339,0.996,"0.05","storm_10"
"11","FC = 0.996, SFT = 0.05","2022-01-16 13:15:00","2022-01-22 07:45:00",74059.6984259667,440043838.083518,105,4.43471248059681,26.3499304241628,705.330461199683,0.996,"0.05","storm_11"
"12","FC = 0.996, SFT = 0.05","2022-01-22 13:45:00","2022-01-27 04:00:00",84957.4386320175,404958206.77674,136.25,5.08727177437231,24.2489944177689,623.540833996459,0.996,"0.05","storm_12"
"13","FC = 0.996, SFT = 0.05","2022-01-27 11:30:00","2022-02-01 04:00:00",58686.7234414756,249144833.323688,131.5,3.51417505637579,14.9188522948316,446.286870277381,0.996,"0.05","storm_13"
"14","FC = 0.996, SFT = 0.05","2022-02-10 18:45:00","2022-02-17 07:00:00",866227.263411849,2703576725.37227,171.5,51.8698960126856,161.890821878579,5050.88783330524,0.996,"0.05","storm_14"
"15","FC = 0.996, SFT = 0.05","2022-02-17 13:15:00","2022-03-04 23:45:00",1391555.3676017,3428999707.78801,142.75,83.3266687186648,205.329323819641,9748.19872225361,0.996,"0.05","storm_15"
"16","FC = 0.996, SFT = 0.05","2022-03-06 14:00:00","2022-03-14 13:30:00",538456.123810182,1256731273.88298,147,32.2428816652803,75.2533696935918,3662.96682864069,0.996,"0.05","storm_16"
"17","FC = 0.996, SFT = 0.05","2022-03-15","2022-03-15 05:15:00",32558.8350046259,96674488.3457919,118,1.94963083860035,5.78889151771209,275.922330547677,0.996,"0.05","storm_17"
"18","FC = 0.996, SFT = 0.05","2022-03-19 13:45:00","2022-03-19 15:00:00",4835.96519512276,15312154.77938,20,0.289578754198968,0.916895495771256,241.798259756138,0.996,"0.05","storm_18"
"19","FC = 0.996, SFT = 0.05","2022-03-23 22:30:00","2022-03-30 09:30:00",537950.931612311,2569377532.3029,137.75,32.2126306354677,153.854942054066,3905.26992096051,0.996,"0.05","storm_19"
"20","FC = 0.996, SFT = 0.05","2022-04-19 08:00:00","2022-04-26 01:00:00",892550.793785641,3181562976.98791,183.75,53.4461553165055,190.512753113049,4857.41928590825,0.996,"0.05","storm_20"
"21","FC = 0.996, SFT = 0.05","2022-04-26 09:45:00","2022-05-03 04:45:00",262158.480549857,822670099.654828,197,15.6981126077759,49.2616826140616,1330.75370837491,0.996,"0.05","storm_21"
"22","FC = 0.996, SFT = 0.05","2022-05-03 05:15:00","2022-05-03 12:45:00",1575.21646208919,5474358.04778572,7.75,0.0943243390472568,0.327805871124893,203.253737043766,0.996,"0.05","storm_22"
"23","FC = 0.996, SFT = 0.05","2022-05-27 13:30:00","2022-06-01 08:00:00",709107.766532128,3928216264.17833,133.5,42.4615429061154,235.222530789122,5311.668663162,0.996,"0.05","storm_23"
"24","FC = 0.996, SFT = 0.05","2022-06-02 03:00:00","2022-08-01 22:30:00",469246.660173204,2146490798.25582,175.5,28.0986024055811,128.532383129091,2673.77014343706,0.996,"0.05","storm_24"
"25","FC = 0.996, SFT = 0.05","2022-08-02 06:15:00","2022-08-02 11:00:00",1197.74072857541,1736170.17618497,5,0.0717210017111024,0.1039622859991,239.548145715082,0.996,"0.05","storm_25"
"26","FC = 0.996, SFT = 0.05","2022-08-13 03:30:00","2022-08-13 09:00:00",1098.42262483332,865412.087701585,5.75,0.0657738098702584,0.0518210830959033,191.030021710142,0.996,"0.05","storm_26"
"27","FC = 0.996, SFT = 0.05","2022-08-15 04:15:00","2022-08-15 10:30:00",1707.13424309206,1333798.80509926,6.5,0.102223607370782,0.0798681919221112,262.636037398779,0.996,"0.05","storm_27"
"28","FC = 0.996, SFT = 0.05","2022-08-15 22:45:00","2022-08-16 06:30:00",2106.58121709233,1491501.84118199,8,0.12614258784984,0.0893114874959278,263.322652136541,0.996,"0.05","storm_28"
"29","FC = 0.996, SFT = 0.05","2022-08-16 19:45:00","2022-08-20 11:00:00",58621.3419449544,49212229.6694869,94.25,3.51025999670386,2.94684009996928,621.977102864238,0.996,"0.05","storm_29"
"30","FC = 0.996, SFT = 0.05","2022-08-20 19:00:00","2022-08-21 01:45:00",1486.50664694341,1348772.95426923,7,0.0890123740684678,0.080764847561032,212.358092420487,0.996,"0.05","storm_30"
"31","FC = 0.996, SFT = 0.05","2022-08-22 21:00:00","2022-08-23 01:15:00",891.852008838203,567279.056803716,4.5,0.0534043119064792,0.0339688057966297,198.189335297378,0.996,"0.05","storm_31"
"32","FC = 0.996, SFT = 0.05","2022-08-23 14:15:00","2022-08-26 01:15:00",34649.9023974873,25197130.0007426,63,2.07484445493936,1.50881017968518,549.998450753767,0.996,"0.05","storm_32"
"33","FC = 0.996, SFT = 0.05","2022-08-31 00:15:00","2022-09-09 08:00:00",117412.814854072,147735046.046245,81,7.03070747629172,8.8464099428889,1449.54092412434,0.996,"0.05","storm_33"
"34","FC = 0.996, SFT = 0.05","2022-09-13 23:00:00","2022-09-17 11:15:00",89755.177525965,76689067.3853099,99.5,5.3745615285009,4.59215972367125,902.06208568809,0.996,"0.05","storm_34"
"35","FC = 0.996, SFT = 0.05","2022-09-18 22:00:00","2022-09-25 17:15:00",804557.755255137,2108026564.24486,182.25,48.177111093122,126.229135583525,4414.58301923257,0.996,"0.05","storm_35"
"36","FC = 0.996, SFT = 0.05","2022-09-26 03:00:00","2022-09-28 05:30:00",28729.886404119,100559174.278958,62,1.72035247928856,6.02150744185376,463.385264582565,0.996,"0.05","storm_36"
"37","FC = 0.996, SFT = 0.05","2022-09-28 12:15:00","2022-10-04 07:00:00",92078.7187182613,315027559.173917,146,5.51369573163241,18.8639256990369,630.67615560453,0.996,"0.05","storm_37"
"38","FC = 0.996, SFT = 0.05","2022-10-04 21:15:00","2022-10-05 02:45:00",1069.83830096272,3723261.80137702,5.75,0.0640621737103428,0.22294980846569,186.058834950039,0.996,"0.05","storm_38"
"39","FC = 0.996, SFT = 0.05","2022-10-07 14:15:00","2022-10-12 06:45:00",40513.3804349035,107914693.583568,105,2.42595092424572,6.46195769961487,385.841718427652,0.996,"0.05","storm_39"
"40","FC = 0.996, SFT = 0.05","2022-10-12 15:00:00","2022-10-12 18:45:00",1112.71957686138,2678886.76824656,5.75,0.0666299147821185,0.160412381332129,193.516448149805,0.996,"0.05","storm_40"
"41","FC = 0.996, SFT = 0.05","2022-10-24 18:15:00","2022-10-29 02:30:00",46787.8661629634,124785995.694847,108.25,2.80166863251278,7.47221531106868,432.220472637075,0.996,"0.05","storm_41"
"42","FC = 0.996, SFT = 0.05","2022-11-02 16:30:00","2022-11-03 00:45:00",1637.93452440265,3832273.41114619,8.5,0.0980799116408773,0.229477449769233,192.698179341488,0.996,"0.05","storm_42"
