"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh"
"1",0,0.62537610350525,NA,NA,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"2",0.01,0.777284415252138,NA,NA,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"3",0.02,0.698654654843188,NA,NA,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"4",0.03,0.680217020637998,NA,NA,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"5",0.04,0.711447175056579,0.728698848166154,-0.0172516731095756,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"6",0.05,0.808564300875488,0.73598670958544,0.0725775912900475,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"7",0.06,0.717924347150347,0.767248873590389,-0.0493245264400425,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"8",0.07,0.831148697940045,0.806137362754395,0.0250113351856499,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"9",0.08,0.842301718893294,0.815355037297884,0.0269466815954102,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"10",0.09,0.768946621070586,0.730403921193232,0.0385426998773533,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"11",0.1,0.554564717836924,0.711084983357518,-0.156520265520594,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"12",0.11,0.35033228889028,0.771186224063689,-0.420853935173409,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"13",0.12,0.301813750701481,0.825942028851616,-0.524128278150135,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"14",0.13,0.159005456342666,0.825587794852878,-0.666582338510212,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"15",0.14,0.36242435590654,0.82523356085414,-0.4628092049476,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"16",0.15,0.215622223736805,0.787297688014313,-0.571675464277508,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"17",0.16,0.477981348478642,0.744773728628967,-0.266792380150325,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"18",0.17,0.16326529470338,0.729407395625613,-0.566142100922234,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"19",0.18,0.200050481262746,0.736762006617959,-0.536711525355213,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"20",0.19,0.353370481689732,0.789076786212272,-0.435706304522541,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"21",0.2,0.173580239629096,0.819151892946011,-0.645571653316914,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"22",0.21,0.225009799643869,0.868569812949753,-0.643560013305884,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"23",0.22,0.305667257862872,0.848274903529513,-0.542607645666641,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"24",0.23,0.263799668177938,0.74118822065277,-0.477388552474833,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"25",0.24,0.247074859222183,0.690540325839633,-0.44346546661745,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"26",0.25,0.310163307061924,0.666781893840796,-0.356618586778872,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"27",0.26,0.294960293604368,0.643023461841958,-0.34806316823759,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"28",0.27,0.400526190348765,0.619265029843121,-0.218738839494356,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"29",0.28,0.283620885985655,0.595506597844283,-0.311885711858628,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"30",0.29,0.26216904296164,0.571748165845446,-0.309579122883806,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"31",0.3,0.267333221402995,0.575018553992693,-0.307685332589698,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"32",0.31,0.483310423560899,0.626799605157104,-0.143489181596206,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"33",0.32,0.427608283086675,0.662416278104656,-0.234807995017981,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"34",0.33,0.332347139532965,0.688918685990432,-0.356571546457467,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"35",0.34,0.124175556018424,0.715421093876209,-0.591245537857785,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"36",0.35,0.357705424415797,0.728008330393007,-0.37030290597721,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"37",0.36,0.428181313823219,0.739876424944808,-0.311695111121589,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"38",0.37,0.479159607691978,0.7420891760008,-0.262929568308822,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"39",0.38,0.395456404436827,0.675718616513337,-0.280262212076511,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"40",0.39,0.35560823261902,0.620931248210939,-0.265323015591919,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"41",0.4,0.419822483579377,0.62783947610027,-0.208016992520893,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"42",0.41,0.403964735362381,0.6347477039896,-0.23078296862722,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"43",0.42,0.372259785831436,0.641655931878931,-0.269396146047495,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"44",0.43,0.46605237724016,0.649826517888958,-0.183774140648798,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"45",0.44,0.460112300260832,0.706403359759594,-0.246291059498762,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"46",0.45,0.472049700848234,0.687404102399912,-0.215354401551678,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"47",0.46,0.450565621221369,0.651437406579355,-0.200871785357986,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"48",0.47,0.45374494692372,0.613267659057414,-0.159522712133694,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"49",0.48,0.519022592657915,0.603978672312717,-0.0849560796548027,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"50",0.49,0.523989595158125,0.613202993114272,-0.0892133979561469,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"51",0.5,0.412614191061587,0.63384392124137,-0.221229730179783,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"52",0.51,0.318669574760709,0.682493028837896,-0.363823454077187,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"53",0.52,0.520985602025091,0.731142136434421,-0.21015653440933,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"54",0.53,0.453984884282683,0.779791244030947,-0.325806359748264,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"55",0.54,0.42379540073258,0.788994952255756,-0.365199551523176,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
"56",0.55,0.435642536691038,0.778210553307708,-0.34256801661667,-0.0359661130346842,"FC = 0.996, SFT = 0.12","storm_1","2021-12-02 21:15:00","2021-12-05 08:45:00",193320.622612972,16489872.0304215,59.75,11.5760851864055,0.987417486851588,3235.49159184891,0.996,"0.12"
