"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh"
"1",0,0.846256479271772,NA,NA,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"2",0.01,0.836458851145255,NA,NA,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"3",0.02,0.820863388052531,NA,NA,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"4",0.03,0.802086029250298,NA,NA,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"5",0.04,0.791673259918606,0.851124626131105,-0.059451366212499,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"6",0.05,0.762377601295745,0.853963025542951,-0.0915854242472054,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"7",0.06,0.74982382851163,0.851084080573084,-0.101260252061454,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"8",0.07,0.729822233168737,0.844278309720787,-0.11445607655205,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"9",0.08,0.70550118158107,0.859100213840095,-0.153599032259025,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"10",0.09,0.655110406577099,0.912019652728848,-0.25690924615175,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"11",0.1,0.631273313341516,0.857771903363636,-0.226498590022121,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"12",0.11,0.609495114951706,0.836222812992128,-0.226727698040422,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"13",0.12,0.588900094242133,0.800447059264527,-0.211546965022395,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"14",0.13,0.56682303067038,0.915659220538604,-0.348836189868225,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"15",0.14,0.539329705011735,0.864307586026044,-0.324977881014309,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"16",0.15,0.523439029022877,0.907092140980934,-0.383653111958057,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"17",0.16,0.510324085897632,0.758366936311292,-0.24804285041366,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"18",0.17,0.497950720002221,0.756386573045999,-0.258435853043777,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"19",0.18,0.487313044062491,0.750299004545184,-0.262985960482693,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"20",0.19,0.476675368122762,0.750359221503801,-0.273683853381039,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"21",0.2,0.469933706963886,0.750926020660605,-0.280992313696719,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"22",0.21,0.464591123138138,0.746532485204504,-0.281941362066366,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"23",0.22,0.459248539312391,0.746083534031947,-0.286834994719556,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"24",0.23,0.454904101571155,0.739512638474025,-0.284608536902871,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"25",0.24,0.452357061792253,0.743803931525489,-0.291446869733235,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"26",0.25,0.449810022013352,0.731068598437669,-0.281258576424317,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"27",0.26,0.44726298223445,0.731513258792908,-0.284250276558458,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"28",0.27,0.444639828601646,0.72532645875658,-0.280686630154934,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"29",0.28,0.441334174506724,0.730628960533883,-0.289294786027159,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"30",0.29,0.438028520411802,0.720883011236786,-0.282854490824984,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"31",0.3,0.43472286631688,0.720152188066464,-0.285429321749584,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"32",0.31,0.431417212221959,0.711571206963545,-0.280153994741587,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"33",0.32,0.428111558127037,0.708540300110389,-0.280428741983352,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"34",0.33,0.427252045198374,0.696746796655556,-0.269494751457182,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"35",0.34,0.426701159553192,0.678508052963767,-0.251806893410575,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"36",0.35,0.42615027390801,0.670992740764009,-0.244842466855999,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"37",0.36,0.425599388262828,0.66176974449475,-0.236170356231922,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
"38",0.37,0.425048502617646,0.647409881089536,-0.222361378471891,-0.668639931642118,"FC = 0.996, SFT = 0.1","storm_1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,1969789182.28637,68.75,4.27340382723771,40.9519580516917,2989.82871403831,0.996,"0.1"
