"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr"
"1","storm_1","2021-12-06 18:00:00","2021-12-11 15:15:00",946567.0375713,7780343171.27477,132.25,19.6791483902557,161.753496284299,7157.40671131418
"2","storm_2","2022-04-07 10:30:00","2022-04-13 18:15:00",721747.5362604,3205059883.68771,74.5,15.005146284,66.633261615129,9687.88639275705
"3","storm_3","2022-04-13 18:15:00","2022-04-19 06:45:00",1256955.5979378,5701682611.6391,136.5,26.1321330132599,118.538100034077,9208.46591895824
"4","storm_4","2022-04-19 06:45:00","2022-04-26 07:15:00",1830705.6986118,7019683168.05203,174,38.0604095345489,145.939359003161,10521.2971184586
"5","storm_5","2022-05-15 02:15:00","2022-05-27 09:15:00",1929879.3734001,7364586921.93384,304.25,40.1222322952204,153.10991521692,6343.07107115892
"6","storm_6","2022-05-27 09:15:00","2022-06-02 01:30:00",1154562.5834838,6533818530.53766,140.25,24.0033801140083,135.838223088101,8232.17528330695
"7","storm_7","2022-12-30 03:30:00","2023-01-05 04:45:00",1575128.108538,5983272199.789,148.5,32.7469461234511,124.392353425967,10606.9232898182
"8","storm_8","2023-01-05 04:45:00","2023-01-13 05:15:00",1933169.865543,7236446424.38793,206.75,40.1906416952807,150.445871608897,9350.27746332769
"9","storm_9","2023-01-13 05:15:00","2023-01-18 09:15:00",996586.2714807,3621380868.03413,125,20.7190493031331,75.288583535013,7972.6901718456
"10","storm_10","2023-02-10","2023-02-15 22:15:00",1933135.0339383,7616312437.87618,144.75,40.1899175454948,158.34329392674,13354.9915988829
"11","storm_11","2023-02-15 22:15:00","2023-02-23 12:30:00",1437152.0795874,4773207291.6951,177.75,29.8784216130437,99.23507882942,8085.24376701772
"12","storm_12","2022-02-10 13:30:00","2022-02-17 09:45:00",1436072.8358664,4656161708.78669,167.5,29.8559841136466,96.801698727374,8573.56916935164
"13","storm_13","2023-03-17 21:45:00","2023-03-20 12:30:00",803152.4374215,3111088473.53939,65.25,16.6975558715489,64.6795940444779,12308.8496156552
"14","storm_14","2023-04-01 02:30:00","2023-04-05 20:45:00",885019.6997352,1904407686.84903,116.75,18.3995779570728,39.5926754022668,7580.46852021585
"15","storm_15","2023-04-05 20:45:00","2023-04-11 16:45:00",1490704.8520401,3434633709.61106,143.25,30.9917848656985,71.4061062289201,10406.3165936482
"16","storm_16","2022-02-17 09:45:00","2022-02-21 14:00:00",1767841.4966697,4462832184.94253,102,36.7534614692245,92.7823739073291,17331.7793791147
"17","storm_17","2022-02-21 14:00:00","2022-02-22 20:00:00",196868.463939,580253855.032892,31.75,4.09289945819127,12.0634897096235,6200.58154138583
"18","storm_18","2022-03-04 23:15:00","2022-03-06 09:15:00",101248.5605238,248806744.382332,35.75,2.10495967824948,5.17269738840606,2832.1275670993
"19","storm_19","2022-03-06 09:15:00","2022-03-15 12:45:00",1330460.7438411,3486732381.96275,193,27.660306524763,72.4892387102443,6893.57898363264
"20","storm_20","2022-03-15 12:45:00","2022-03-23 21:15:00",9024202.4490585,31281407226.5897,729.75,187.613356529283,650.341106581906,12366.1561480761
"21","storm_21","2022-03-23 21:15:00","2022-03-30 11:00:00",1184426.1584118,5692213853.63355,125.25,24.6242444576258,118.341244358286,9456.49627474491
"22","storm_22","2022-03-30 11:00:00","2022-04-07 10:30:00",1378338.668946,6916200516.39109,199.25,28.6556895830769,143.787952523723,6917.63447400753
