"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"1",0,NA,1,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"2",0.01,NA,0.996709490671659,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"3",0.02,NA,0.993418981343318,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"4",0.03,NA,0.990128472014978,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"5",0.04,NA,0.986837962686637,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"6",0.05,NA,0.983547453358296,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"7",0.06,NA,0.980256944029955,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"8",0.07,NA,0.976966434701614,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"9",0.08,NA,0.973675925373274,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"10",0.09,NA,0.970385416044933,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
"11",0.1,NA,0.967094906716592,NA,0.0139834201036254,"FC = 0.99, SFT = 2.75","storm_1","2023-02-10 04:00:00","2023-02-15 14:00:00",37453.275204332,2.5,14981.3100817328,"0.99","2.75"
