"","run_id","storm_counts"
"1","FC = 0.99, SFT = 2.75",2
"2","FC = 0.98, SFT = 2.75",2
"3","FC = 0.99, SFT = 3",2
"4","FC = 0.98, SFT = 3",2
"5","FC = 0.99, SFT = 4.8",0
"6","FC = 0.98, SFT = 4.8",0
