"","Timestamp","Temperature.SoilTemp_15cm@WW_pit5","Temperature.SoilTemp_30cm@WW_pit5","Temperature.SoilTemp_45cm@WW_pit5","Temperature.SoilTemp_60cm@WW_pit5"
"91",2021-10-02 22:00:00,10.9,0,11.6,11.7
"92",2021-10-02 22:30:00,10.9,0,11.6,11.7
"93",2021-10-02 23:00:00,10.9,0,11.6,11.7
"94",2021-10-02 23:30:00,11,0,11.6,11.7
"95",2021-10-03 00:00:00,11,0,11.5,11.7
"96",2021-10-03 00:30:00,11,0,11.5,11.6
"97",2021-10-03 01:00:00,11,0,11.5,11.6
"98",2021-10-03 01:30:00,11,0,11.6,11.7
"99",2021-10-03 02:00:00,11,0,11.5,11.7
"100",2021-10-03 02:30:00,11,0,11.6,11.7
"101",2021-10-03 03:00:00,11,0,11.5,11.7
"102",2021-10-03 03:30:00,11,0,11.6,11.7
"103",2021-10-03 04:00:00,11,0,11.5,11.6
"104",2021-10-03 04:30:00,11,0,11.5,11.6
"105",2021-10-03 05:00:00,11,0,11.5,11.6
"106",2021-10-03 05:30:00,11,0,11.5,11.7
"107",2021-10-03 06:00:00,11,0,11.5,11.7
"108",2021-10-03 06:30:00,11.1,0,11.6,11.7
"109",2021-10-03 07:00:00,11.1,0,11.5,11.7
"110",2021-10-03 07:30:00,11.1,0,11.5,11.7
"111",2021-10-03 08:00:00,11.1,0,11.5,11.6
"112",2021-10-03 08:30:00,11.1,0,11.5,11.6
"113",2021-10-03 09:00:00,11.1,0,11.5,11.6
"114",2021-10-03 09:30:00,11.1,0,11.5,11.6
"115",2021-10-03 10:00:00,11.1,0,11.5,11.6
"116",2021-10-03 10:30:00,11.1,0,11.5,11.6
"117",2021-10-03 11:00:00,11.1,0,11.5,11.6
"118",2021-10-03 11:30:00,11.1,0,11.6,11.6
"119",2021-10-03 12:00:00,11.1,0,11.5,11.6
"120",2021-10-03 12:30:00,11.1,0,11.5,11.6
"121",2021-10-03 13:00:00,11.2,0,11.5,11.6
"122",2021-10-03 13:30:00,11.2,0,11.6,11.6
"123",2021-10-03 14:00:00,11.2,0,11.5,11.6
"124",2021-10-03 14:30:00,11.2,0,11.5,11.6
"125",2021-10-03 15:00:00,11.2,0,11.5,11.6
"126",2021-10-03 15:30:00,11.3,0,11.5,11.6
"127",2021-10-03 16:00:00,11.3,0,11.5,11.6
"128",2021-10-03 16:30:00,11.3,0,11.5,11.6
"129",2021-10-03 17:00:00,11.4,0,11.5,11.6
"130",2021-10-03 17:30:00,11.4,0,11.5,11.6
"131",2021-10-03 18:00:00,11.4,0,11.5,11.6
"132",2021-10-03 18:30:00,11.4,0,11.5,11.6
"133",2021-10-03 19:00:00,11.4,0,11.5,11.6
"134",2021-10-03 19:30:00,11.5,0,11.5,11.6
"135",2021-10-03 20:00:00,11.4,0,11.5,11.6
"136",2021-10-03 20:30:00,11.5,0,11.6,11.6
"137",2021-10-03 21:00:00,11.5,0,11.6,11.6
"138",2021-10-03 21:30:00,11.5,0,11.6,11.6
"139",2021-10-03 22:00:00,11.5,0,11.5,11.6
"140",2021-10-03 22:30:00,11.5,0,11.5,11.6
