"","datetime","smooth_st_flow","total_flow","storm_id","q_cms","conc","rescaled_conc","time_step","norm_tot_q","norm_c","norm_ts","filter_para","sf_thresh","run_id"
"1",2020-04-08 01:30:00,0.0135670141925436,0.0063,"storm_1",0.0063,10.824,0.125021559515907,1,0,1,0,"0.99","0.01","FC = 0.99, SFT = 0.01"
"2",2020-04-08 02:00:00,0.0213643165455376,0.0303,"storm_1",0.0303,9.353,0.096935622734004,2,0.731707317073171,0.724738023952096,0.142857142857143,"0.99","0.01","FC = 0.99, SFT = 0.01"
"3",2020-04-08 02:30:00,0.0253057834592044,0.0391,"storm_1",0.0391,6.123,0.0352649389776847,3,1,0.120321856287425,0.285714285714286,"0.99","0.01","FC = 0.99, SFT = 0.01"
"4",2020-04-08 03:00:00,0.0246693448331293,0.0325,"storm_1",0.0325,5.48,0.0229880814992596,4,0.798780487804878,0,0.428571428571429,"0.99","0.01","FC = 0.99, SFT = 0.01"
"5",2020-04-08 03:30:00,0.0213992308697088,0.0241,"storm_1",0.0241,5.532,0.0239809222284635,5,0.542682926829268,0.00973053892215561,0.571428571428571,"0.99","0.01","FC = 0.99, SFT = 0.01"
"6",2020-04-08 04:00:00,0.0175840837918388,0.0183,"storm_1",0.0183,5.869,0.0304152938773426,6,0.365853658536585,0.0727919161676646,0.714285714285714,"0.99","0.01","FC = 0.99, SFT = 0.01"
"7",2020-04-08 04:30:00,0.0142854205188571,0.0152,"storm_1",0.0152,6.201,0.0367542000714906,7,0.271341463414634,0.134917664670659,0.857142857142857,"0.99","0.01","FC = 0.99, SFT = 0.01"
"8",2020-04-08 05:00:00,0.0117058747143405,0.0132,"storm_1",0.0132,6.666,0.045632487361487,8,0.210365853658537,0.221931137724551,1,"0.99","0.01","FC = 0.99, SFT = 0.01"
"9",2020-04-13 09:30:00,0.0100756072166932,0.0082,"storm_2",0.0082,7.201,0.0558472910177194,1,0,0.465601742603013,0,"0.99","0.01","FC = 0.99, SFT = 0.01"
"10",2020-04-13 10:00:00,0.0163198373909369,0.0093,"storm_2",0.0093,7.393,0.0595131644793954,2,0.0304709141274238,0.500453802868034,0.0526315789473684,"0.99","0.01","FC = 0.99, SFT = 0.01"
"11",2020-04-13 10:30:00,0.0237786009894777,0.0277,"storm_2",0.0277,6.578,0.0439522953582189,3,0.54016620498615,0.352514067888909,0.105263157894737,"0.99","0.01","FC = 0.99, SFT = 0.01"
"12",2020-04-13 11:00:00,0.0282155066691949,0.0443,"storm_2",0.0443,5.513,0.0236181535004851,4,1,0.159194046106371,0.157894736842105,"0.99","0.01","FC = 0.99, SFT = 0.01"
"13",2020-04-13 11:30:00,0.0281883259705902,0.0364,"storm_2",0.0364,4.636,0.0068735127406424,5,0.781163434903047,0,0.210526315789474,"0.99","0.01","FC = 0.99, SFT = 0.01"
